Date and Time:                Fri Oct 17 07:26:23.549 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	292
478.84332	377
479.35983	382
479.87631	373
480.39282	358
480.9093	388
481.42575	372
481.94223	364
482.45868	372
482.97513	372
483.49158	389
484.00803	372
484.52444	409
485.04086	378
485.55728	423
486.07367	444
486.59006	417
487.10645	468
487.62283	459
488.13919	449
488.65555	479
489.17191	471
489.68826	466
490.20459	508
490.72092	491
491.23724	541
491.75354	551
492.26984	505
492.78613	542
493.30243	513
493.8187	541
494.33496	548
494.85123	570
495.36746	537
495.8837	557
496.39993	605
496.91617	608
497.43237	578
497.94858	645
498.46478	642
498.98096	627
499.49713	636
500.01331	583
500.52945	628
501.04562	614
501.56174	603
502.07788	649
502.59399	624
503.11011	652
503.62622	634
504.1423	635
504.65839	590
505.17447	642
505.69052	578
506.20657	635
506.72263	576
507.23865	643
507.75467	629
508.27069	626
508.78668	641
509.30267	676
509.81866	572
510.33463	562
510.85059	637
511.36655	599
511.88248	618
512.39844	596
512.91437	601
513.43024	611
513.94617	566
514.46204	560
514.97791	604
515.49377	575
516.00964	610
516.52551	618
517.04132	567
517.55719	570
518.073	576
518.58881	559
519.10461	578
519.62036	587
520.13617	527
520.65192	593
521.16766	551
521.68341	561
522.1991	587
522.71484	620
523.23053	567
523.74622	615
524.2619	533
524.77759	571
525.29327	553
525.8089	583
526.32452	562
526.84015	547
527.35577	578
527.8714	587
528.38696	521
528.90259	570
529.41815	603
529.93372	560
530.44922	583
530.96478	583
531.48029	524
531.99579	555
532.51129	592
533.02679	552
533.5423	563
534.05774	561
534.57318	561
535.08862	540
535.60406	555
536.11945	497
536.63489	566
537.15027	574
537.66565	593
538.18097	566
538.69635	552
539.21167	553
539.72699	585
540.24231	576
540.75763	552
541.27289	572
541.78821	567
542.30347	572
542.81873	583
543.33392	574
543.84918	591
544.36438	601
544.87958	574
545.39478	594
545.90991	604
546.42511	589
546.94025	593
547.45538	641
547.97052	609
548.4856	619
549.00073	657
549.51581	580
550.03088	577
550.5459	643
551.06097	616
551.57599	652
552.091	690
552.60602	666
553.12097	685
553.63593	643
554.15094	700
554.66583	656
555.18079	662
555.69568	702
556.21063	677
556.72552	711
557.24036	725
557.75525	752
558.27008	733
558.78491	777
559.29974	734
559.81458	784
560.32935	768
560.84412	813
561.35889	790
561.87366	818
562.38837	819
562.90308	801
563.41779	827
563.9325	797
564.44714	807
564.96179	890
565.47644	808
565.99109	884
566.50574	936
567.02032	903
567.53491	922
568.0495	978
568.56403	997
569.07861	901
569.59314	998
570.1076	982
570.62213	957
571.1366	1032
571.65106	1049
572.16553	1030
572.67999	1071
573.1944	1059
573.7088	1074
574.22321	1131
574.73755	1130
575.25195	1123
575.7663	1150
576.28058	1130
576.79492	1105
577.3092	1200
577.82349	1144
578.33777	1196
578.85205	1255
579.36627	1293
579.88049	1280
580.39471	1257
580.90887	1275
581.42303	1234
581.93719	1332
582.45135	1305
582.96545	1340
583.47955	1388
583.99365	1322
584.50775	1296
585.02179	1417
585.53583	1398
586.04987	1371
586.5639	1375
587.07788	1364
587.59186	1417
588.10583	1348
588.61975	1406
589.13373	1509
589.64758	1544
590.1615	1524
590.67542	1447
591.18927	1467
591.70306	1504
592.21692	1518
592.73071	1534
593.24451	1527
593.7583	1501
594.27209	1483
594.78583	1558
595.29956	1526
595.81323	1530
596.32697	1578
596.84064	1653
597.35425	1574
597.86792	1604
598.38153	1521
598.89514	1574
599.40875	1601
599.9223	1533
600.43585	1544
600.9494	1600
601.46289	1538
601.97638	1607
602.48987	1633
