Date and Time:                Wed Oct 22 09:15:05.356 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -87.684
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	275
478.84332	322
479.35983	308
479.87631	330
480.39282	314
480.9093	300
481.42575	305
481.94223	320
482.45868	314
482.97513	322
483.49158	325
484.00803	340
484.52444	314
485.04086	322
485.55728	337
486.07367	336
486.59006	334
487.10645	337
487.62283	336
488.13919	330
488.65555	341
489.17191	323
489.68826	326
490.20459	310
490.72092	312
491.23724	321
491.75354	315
492.26984	297
492.78613	316
493.30243	310
493.8187	325
494.33496	309
494.85123	327
495.36746	321
495.8837	308
496.39993	309
496.91617	292
497.43237	308
497.94858	324
498.46478	302
498.98096	312
499.49713	319
500.01331	335
500.52945	304
501.04562	332
501.56174	302
502.07788	327
502.59399	330
503.11011	330
503.62622	321
504.1423	330
504.65839	328
505.17447	322
505.69052	315
506.20657	305
506.72263	340
507.23865	315
507.75467	318
508.27069	291
508.78668	305
509.30267	312
509.81866	314
510.33463	327
510.85059	324
511.36655	327
511.88248	318
512.39844	320
512.91437	323
513.43024	321
513.94617	311
514.46204	319
514.97791	316
515.49377	334
516.00964	327
516.52551	306
517.04132	311
517.55719	341
518.073	310
518.58881	322
519.10461	331
519.62036	318
520.13617	320
520.65192	308
521.16766	327
521.68341	317
