Date and Time:                Wed Oct 22 09:16:21.457 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -88.333
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	261
478.84332	329
479.35983	322
479.87631	336
480.39282	319
480.9093	312
481.42575	328
481.94223	329
482.45868	325
482.97513	316
483.49158	315
484.00803	314
484.52444	321
485.04086	332
485.55728	335
486.07367	304
486.59006	326
487.10645	341
487.62283	319
488.13919	341
488.65555	333
489.17191	316
489.68826	327
490.20459	319
490.72092	316
491.23724	307
491.75354	355
492.26984	323
492.78613	330
493.30243	326
493.8187	297
494.33496	326
494.85123	310
495.36746	310
495.8837	320
496.39993	309
496.91617	311
497.43237	315
497.94858	332
498.46478	327
498.98096	305
499.49713	310
500.01331	317
500.52945	315
501.04562	296
501.56174	292
502.07788	336
502.59399	324
503.11011	306
503.62622	315
504.1423	320
504.65839	323
505.17447	324
505.69052	310
506.20657	319
506.72263	331
507.23865	314
507.75467	323
508.27069	304
508.78668	315
509.30267	340
509.81866	318
510.33463	348
510.85059	321
511.36655	305
511.88248	312
512.39844	305
512.91437	321
513.43024	301
513.94617	301
514.46204	323
514.97791	333
515.49377	354
516.00964	313
516.52551	309
517.04132	314
517.55719	323
518.073	327
518.58881	304
519.10461	307
519.62036	308
520.13617	317
520.65192	298
521.16766	333
521.68341	320
522.1991	309
522.71484	319
523.23053	330
523.74622	316
524.2619	320
524.77759	310
525.29327	320
525.8089	327
526.32452	320
526.84015	329
527.35577	285
527.8714	333
528.38696	322
528.90259	317
529.41815	320
529.93372	314
530.44922	317
530.96478	312
531.48029	324
531.99579	310
532.51129	294
533.02679	323
533.5423	329
534.05774	299
534.57318	310
535.08862	312
535.60406	342
536.11945	295
536.63489	304
537.15027	327
537.66565	310
538.18097	344
538.69635	295
539.21167	329
539.72699	341
540.24231	334
540.75763	301
541.27289	317
541.78821	324
542.30347	307
542.81873	315
543.33392	319
543.84918	314
544.36438	321
544.87958	324
545.39478	326
545.90991	306
546.42511	324
546.94025	300
547.45538	331
547.97052	322
548.4856	318
549.00073	312
549.51581	314
550.03088	309
550.5459	322
551.06097	314
551.57599	329
552.091	342
552.60602	296
553.12097	304
553.63593	300
554.15094	332
554.66583	326
555.18079	345
555.69568	320
556.21063	311
556.72552	307
557.24036	315
557.75525	308
558.27008	293
558.78491	314
559.29974	324
559.81458	310
560.32935	328
560.84412	298
561.35889	295
561.87366	309
562.38837	312
562.90308	322
563.41779	341
563.9325	345
564.44714	318
