Date and Time:                Thu Oct 30 09:15:48.644 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -89.631
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	308
478.84332	349
479.35983	375
479.87631	368
480.39282	364
480.9093	373
481.42575	367
481.94223	369
482.45868	349
482.97513	371
483.49158	395
484.00803	370
484.52444	357
485.04086	403
485.55728	411
486.07367	428
486.59006	427
487.10645	446
487.62283	475
488.13919	466
488.65555	460
489.17191	482
489.68826	478
490.20459	481
490.72092	514
491.23724	498
491.75354	528
492.26984	567
492.78613	543
493.30243	547
493.8187	547
494.33496	572
494.85123	612
495.36746	598
495.8837	637
496.39993	580
496.91617	651
497.43237	626
497.94858	635
498.46478	643
498.98096	671
499.49713	671
500.01331	673
500.52945	650
501.04562	670
501.56174	675
502.07788	674
502.59399	679
503.11011	679
503.62622	671
504.1423	683
504.65839	696
505.17447	671
505.69052	649
506.20657	703
506.72263	705
507.23865	674
507.75467	648
508.27069	642
508.78668	647
509.30267	676
509.81866	699
510.33463	687
510.85059	676
511.36655	706
511.88248	674
512.39844	675
512.91437	657
513.43024	655
513.94617	656
514.46204	592
514.97791	648
515.49377	687
516.00964	660
516.52551	670
517.04132	669
517.55719	662
518.073	677
518.58881	665
519.10461	673
519.62036	681
520.13617	665
520.65192	627
521.16766	602
521.68341	649
522.1991	639
522.71484	669
523.23053	634
523.74622	652
524.2619	648
524.77759	669
525.29327	647
525.8089	648
526.32452	651
526.84015	627
527.35577	646
527.8714	642
528.38696	642
528.90259	629
529.41815	641
529.93372	641
530.44922	605
530.96478	622
531.48029	634
531.99579	654
532.51129	615
533.02679	640
533.5423	612
534.05774	588
534.57318	624
535.08862	610
535.60406	566
536.11945	629
536.63489	602
537.15027	605
537.66565	623
538.18097	625
538.69635	642
539.21167	615
539.72699	612
540.24231	626
540.75763	612
541.27289	576
541.78821	600
542.30347	632
542.81873	641
543.33392	600
543.84918	592
544.36438	619
544.87958	606
545.39478	618
545.90991	629
546.42511	661
546.94025	598
547.45538	621
547.97052	635
548.4856	602
549.00073	620
549.51581	634
550.03088	631
550.5459	649
551.06097	635
551.57599	637
552.091	613
552.60602	648
553.12097	627
553.63593	692
554.15094	646
554.66583	677
555.18079	706
555.69568	657
556.21063	650
556.72552	649
557.24036	631
557.75525	637
558.27008	686
558.78491	675
559.29974	695
559.81458	709
560.32935	665
560.84412	738
561.35889	706
561.87366	739
562.38837	706
562.90308	743
563.41779	728
563.9325	752
564.44714	801
564.96179	732
565.47644	771
565.99109	730
566.50574	728
567.02032	765
567.53491	790
568.0495	779
568.56403	819
569.07861	750
569.59314	830
570.1076	814
570.62213	813
571.1366	838
571.65106	859
572.16553	847
572.67999	895
573.1944	885
573.7088	827
574.22321	877
574.73755	863
575.25195	923
575.7663	909
576.28058	911
576.79492	929
577.3092	913
577.82349	927
578.33777	980
578.85205	999
579.36627	978
579.88049	1036
580.39471	1050
580.90887	1034
581.42303	1017
581.93719	1058
582.45135	1059
582.96545	1083
583.47955	1020
583.99365	1075
584.50775	1086
585.02179	1112
585.53583	1052
586.04987	1087
586.5639	1093
587.07788	1072
587.59186	1161
588.10583	1209
588.61975	1167
589.13373	1156
589.64758	1146
590.1615	1226
590.67542	1208
591.18927	1187
591.70306	1175
592.21692	1197
592.73071	1178
593.24451	1124
593.7583	1250
594.27209	1256
594.78583	1245
595.29956	1279
595.81323	1244
596.32697	1272
596.84064	1245
597.35425	1210
597.86792	1268
598.38153	1232
598.89514	1293
599.40875	1230
