Date and Time:                Sat Oct 18 08:48:40.275 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	301
478.84332	366
479.35983	376
479.87631	362
480.39282	383
480.9093	379
481.42575	356
481.94223	345
482.45868	357
482.97513	384
483.49158	365
484.00803	386
484.52444	392
485.04086	405
485.55728	424
486.07367	434
486.59006	407
487.10645	452
487.62283	434
488.13919	441
488.65555	445
489.17191	458
489.68826	499
490.20459	448
490.72092	480
491.23724	501
491.75354	505
492.26984	539
492.78613	514
493.30243	518
493.8187	525
494.33496	549
494.85123	550
495.36746	600
495.8837	578
496.39993	576
496.91617	633
497.43237	581
497.94858	627
498.46478	623
498.98096	636
499.49713	645
500.01331	635
500.52945	645
501.04562	692
501.56174	632
502.07788	664
502.59399	645
503.11011	646
503.62622	691
504.1423	665
504.65839	607
505.17447	637
505.69052	676
506.20657	655
506.72263	645
507.23865	651
507.75467	707
508.27069	651
508.78668	656
509.30267	646
509.81866	626
510.33463	682
510.85059	645
511.36655	660
511.88248	675
512.39844	604
512.91437	681
513.43024	690
513.94617	652
514.46204	649
514.97791	691
515.49377	698
516.00964	636
516.52551	633
517.04132	658
517.55719	639
518.073	644
518.58881	644
519.10461	656
519.62036	691
520.13617	675
520.65192	672
521.16766	627
521.68341	654
522.1991	653
522.71484	669
523.23053	637
523.74622	639
524.2619	676
524.77759	631
525.29327	653
525.8089	640
526.32452	664
526.84015	608
527.35577	626
527.8714	615
528.38696	648
528.90259	628
529.41815	630
529.93372	626
530.44922	602
530.96478	663
531.48029	647
531.99579	639
532.51129	643
533.02679	627
533.5423	655
534.05774	624
534.57318	635
535.08862	594
535.60406	624
536.11945	635
536.63489	640
537.15027	646
537.66565	628
538.18097	633
538.69635	625
539.21167	617
539.72699	589
540.24231	607
540.75763	667
541.27289	600
541.78821	621
542.30347	634
542.81873	612
543.33392	612
543.84918	652
544.36438	608
544.87958	621
545.39478	628
545.90991	631
546.42511	639
546.94025	613
547.45538	649
547.97052	630
548.4856	618
549.00073	624
549.51581	614
550.03088	662
550.5459	644
551.06097	687
551.57599	630
552.091	654
552.60602	639
553.12097	634
553.63593	622
554.15094	661
554.66583	657
555.18079	687
555.69568	661
556.21063	664
556.72552	649
557.24036	660
557.75525	678
558.27008	700
558.78491	660
559.29974	715
559.81458	689
560.32935	721
560.84412	719
561.35889	709
561.87366	748
562.38837	760
562.90308	773
563.41779	759
563.9325	744
564.44714	775
564.96179	793
565.47644	818
565.99109	772
566.50574	780
567.02032	790
567.53491	822
568.0495	793
568.56403	828
569.07861	784
569.59314	830
570.1076	822
570.62213	870
571.1366	857
571.65106	885
572.16553	923
572.67999	937
573.1944	899
573.7088	844
574.22321	883
574.73755	893
575.25195	931
575.7663	936
576.28058	884
576.79492	942
577.3092	961
577.82349	936
578.33777	931
578.85205	982
579.36627	1006
579.88049	984
580.39471	1063
580.90887	984
581.42303	961
581.93719	1016
582.45135	1058
582.96545	1045
583.47955	1088
583.99365	1049
584.50775	1047
585.02179	1070
585.53583	1081
586.04987	1076
586.5639	1085
587.07788	1063
587.59186	1096
588.10583	1103
588.61975	1136
589.13373	1126
589.64758	1150
590.1615	1135
590.67542	1104
591.18927	1134
591.70306	1149
592.21692	1228
592.73071	1127
593.24451	1194
593.7583	1145
594.27209	1151
594.78583	1261
595.29956	1222
595.81323	1259
596.32697	1201
596.84064	1194
597.35425	1205
597.86792	1264
598.38153	1206
598.89514	1248
599.40875	1276
599.9223	1235
600.43585	1268
600.9494	1266
601.46289	1364
601.97638	1230
602.48987	1313
603.00336	1360
603.51678	1324
604.03021	1250
