Date and Time:                Wed Oct 22 09:32:31.353 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	270
478.84332	320
479.35983	333
479.87631	312
480.39282	346
480.9093	342
481.42575	339
481.94223	328
482.45868	332
482.97513	317
483.49158	353
484.00803	364
484.52444	395
485.04086	453
485.55728	495
486.07367	575
486.59006	571
487.10645	570
487.62283	659
488.13919	720
488.65555	779
489.17191	830
489.68826	862
490.20459	877
490.72092	941
491.23724	964
491.75354	1149
492.26984	1121
492.78613	1092
493.30243	1226
493.8187	1211
494.33496	1303
494.85123	1458
495.36746	1411
495.8837	1463
496.39993	1667
496.91617	1673
497.43237	1627
497.94858	1766
498.46478	1844
498.98096	1963
499.49713	2054
500.01331	2126
500.52945	2232
501.04562	2398
501.56174	2513
502.07788	2720
502.59399	3045
503.11011	3249
503.62622	3639
504.1423	4012
504.65839	4420
505.17447	4835
505.69052	5439
506.20657	5960
506.72263	6577
507.23865	7374
507.75467	8123
508.27069	9104
508.78668	10167
509.30267	11317
509.81866	12041
510.33463	13068
510.85059	14266
511.36655	15331
511.88248	16469
512.39844	17199
512.91437	17526
513.43024	18228
513.94617	18766
514.46204	19332
514.97791	19848
515.49377	20003
516.00964	20220
516.52551	20180
517.04132	19558
517.55719	19541
518.073	19489
518.58881	19421
519.10461	19056
519.62036	18625
520.13617	17940
520.65192	17326
521.16766	16566
521.68341	16029
522.1991	15561
522.71484	14566
523.23053	13732
523.74622	12314
524.2619	11466
524.77759	10464
525.29327	9706
525.8089	8342
526.32452	7503
526.84015	6788
527.35577	5992
527.8714	5370
528.38696	4717
528.90259	4227
529.41815	3820
529.93372	3308
530.44922	3148
530.96478	2705
531.48029	2521
531.99579	2539
532.51129	2469
533.02679	2229
533.5423	2377
534.05774	2276
534.57318	2251
535.08862	2240
535.60406	2132
536.11945	2178
536.63489	2114
537.15027	2087
537.66565	2065
538.18097	1975
538.69635	2005
539.21167	1934
539.72699	1946
540.24231	1844
540.75763	1840
541.27289	1800
541.78821	1853
542.30347	1682
542.81873	1593
543.33392	1716
543.84918	1684
544.36438	1642
544.87958	1562
545.39478	1576
545.90991	1557
546.42511	1499
546.94025	1574
547.45538	1473
547.97052	1457
548.4856	1405
549.00073	1410
549.51581	1374
550.03088	1367
550.5459	1367
551.06097	1282
551.57599	1308
552.091	1396
552.60602	1309
553.12097	1257
553.63593	1276
554.15094	1185
554.66583	1247
555.18079	1259
555.69568	1227
556.21063	1157
556.72552	1240
557.24036	1188
557.75525	1221
558.27008	1179
558.78491	1202
559.29974	1115
559.81458	1169
560.32935	1175
560.84412	1162
561.35889	1206
561.87366	1136
562.38837	1180
562.90308	1139
563.41779	1128
563.9325	1078
564.44714	1128
564.96179	1098
565.47644	1130
565.99109	1106
566.50574	1035
567.02032	1094
567.53491	1045
568.0495	1060
568.56403	1045
569.07861	1087
569.59314	1035
570.1076	1086
570.62213	989
571.1366	1007
571.65106	1128
572.16553	938
572.67999	964
573.1944	970
573.7088	983
574.22321	1012
574.73755	967
575.25195	939
575.7663	958
576.28058	998
576.79492	949
577.3092	924
577.82349	845
578.33777	999
578.85205	926
579.36627	878
579.88049	917
580.39471	886
580.90887	891
581.42303	845
581.93719	852
582.45135	795
582.96545	892
583.47955	864
583.99365	902
584.50775	904
585.02179	876
585.53583	829
586.04987	818
586.5639	842
587.07788	843
587.59186	798
588.10583	827
588.61975	830
589.13373	762
589.64758	771
590.1615	767
590.67542	734
591.18927	806
591.70306	756
592.21692	753
592.73071	755
593.24451	784
593.7583	785
594.27209	704
594.78583	753
595.29956	730
595.81323	715
