Date and Time:                Wed Oct 22 09:28:16.194 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	274
478.84332	333
479.35983	329
479.87631	312
480.39282	299
480.9093	321
481.42575	323
481.94223	340
482.45868	316
482.97513	313
483.49158	332
484.00803	321
484.52444	344
485.04086	327
485.55728	348
486.07367	344
486.59006	339
487.10645	330
487.62283	326
488.13919	341
488.65555	344
489.17191	318
489.68826	334
490.20459	345
490.72092	323
491.23724	342
491.75354	335
492.26984	344
492.78613	356
493.30243	343
493.8187	339
494.33496	344
494.85123	364
495.36746	369
495.8837	333
496.39993	351
496.91617	348
497.43237	351
497.94858	361
498.46478	337
498.98096	370
499.49713	340
500.01331	330
500.52945	352
501.04562	359
501.56174	327
502.07788	376
502.59399	369
503.11011	326
503.62622	336
504.1423	364
504.65839	325
505.17447	348
505.69052	370
506.20657	343
506.72263	357
507.23865	369
507.75467	342
508.27069	333
508.78668	353
509.30267	348
509.81866	359
510.33463	357
510.85059	356
511.36655	370
511.88248	354
512.39844	352
512.91437	351
513.43024	359
513.94617	351
514.46204	354
514.97791	322
515.49377	346
516.00964	368
516.52551	350
517.04132	348
517.55719	329
518.073	351
518.58881	349
519.10461	341
519.62036	341
520.13617	366
520.65192	377
521.16766	320
521.68341	355
522.1991	324
522.71484	343
523.23053	343
523.74622	342
524.2619	342
524.77759	362
525.29327	346
525.8089	356
526.32452	337
526.84015	334
527.35577	340
527.8714	343
528.38696	351
528.90259	372
529.41815	369
529.93372	358
530.44922	323
530.96478	354
531.48029	361
531.99579	369
532.51129	351
533.02679	341
533.5423	341
534.05774	347
534.57318	356
535.08862	354
535.60406	329
536.11945	325
536.63489	364
537.15027	330
537.66565	347
538.18097	339
538.69635	360
539.21167	333
539.72699	340
540.24231	344
540.75763	366
541.27289	349
541.78821	346
542.30347	349
542.81873	342
543.33392	337
543.84918	330
544.36438	358
544.87958	323
545.39478	355
545.90991	348
546.42511	359
546.94025	331
547.45538	325
547.97052	348
548.4856	344
549.00073	332
549.51581	334
550.03088	335
550.5459	327
551.06097	338
551.57599	328
552.091	346
552.60602	325
553.12097	361
553.63593	359
554.15094	353
554.66583	339
555.18079	361
555.69568	339
556.21063	332
556.72552	338
557.24036	362
557.75525	329
558.27008	318
558.78491	352
559.29974	355
559.81458	342
560.32935	350
560.84412	338
561.35889	349
561.87366	343
562.38837	338
562.90308	354
563.41779	340
563.9325	342
564.44714	325
564.96179	314
565.47644	346
565.99109	333
566.50574	349
567.02032	359
567.53491	346
568.0495	333
568.56403	348
569.07861	321
569.59314	340
570.1076	349
570.62213	348
571.1366	318
571.65106	341
572.16553	329
572.67999	330
573.1944	320
573.7088	355
574.22321	331
574.73755	334
575.25195	355
575.7663	338
576.28058	351
576.79492	342
577.3092	355
577.82349	337
578.33777	338
578.85205	344
579.36627	322
579.88049	332
580.39471	324
580.90887	316
581.42303	327
581.93719	341
582.45135	327
582.96545	360
583.47955	333
583.99365	344
584.50775	331
585.02179	335
585.53583	316
586.04987	349
586.5639	355
587.07788	324
587.59186	327
588.10583	357
588.61975	320
589.13373	318
589.64758	334
590.1615	335
590.67542	331
591.18927	314
591.70306	355
592.21692	332
592.73071	327
593.24451	304
593.7583	335
594.27209	334
594.78583	355
595.29956	311
595.81323	342
596.32697	345
596.84064	315
597.35425	334
597.86792	351
598.38153	324
598.89514	318
599.40875	329
599.9223	318
600.43585	331
600.9494	324
601.46289	304
601.97638	326
602.48987	329
603.00336	326
603.51678	325
604.03021	333
604.54364	321
605.05701	346
605.57043	347
606.08374	339
606.59711	339
607.11041	318
