Date and Time:                Wed Oct 22 09:28:57.045 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
654.25311	320
654.76459	334
655.276	323
655.78741	337
656.29883	324
656.81018	323
657.32153	307
657.83289	339
658.34418	348
658.85547	332
659.3667	321
659.87793	327
660.38916	326
660.90033	309
661.4115	320
661.92267	331
662.43378	316
662.94489	340
663.45593	314
663.96698	350
664.47803	334
664.98907	330
665.50006	339
666.01099	318
666.52191	341
667.03284	322
667.54376	348
668.05463	310
668.56549	337
669.07629	304
669.5871	335
670.0979	299
670.60864	318
671.11938	323
671.63007	323
672.14075	340
672.65143	301
673.16205	330
673.67267	303
674.18329	332
674.69385	329
675.20435	300
675.7149	312
676.2254	319
676.73584	291
677.24628	332
677.75671	318
678.26715	345
678.77753	322
679.28784	340
679.79822	355
680.30847	345
680.81879	324
681.32904	322
681.83923	331
682.34949	346
682.85968	303
683.36981	336
683.87994	339
684.39008	349
684.90015	315
685.41022	334
685.92023	296
686.43024	319
686.94025	308
687.4502	302
687.96014	319
688.47003	310
688.97992	317
689.48981	327
689.99963	310
690.50946	324
691.01923	340
691.52899	322
692.03876	336
692.54846	313
693.05817	325
693.56781	323
694.07745	337
694.58704	296
695.09662	325
695.6062	342
696.11572	319
696.62524	309
697.1347	345
697.64417	331
698.15363	311
698.66302	325
699.17242	338
699.68176	329
700.1911	314
700.70044	304
701.20972	344
701.71893	325
702.22815	328
702.73737	1605
703.24652	344
703.75568	311
704.26483	317
704.77393	299
705.28302	342
705.79205	311
706.30103	330
706.81006	337
707.31903	345
707.82794	343
708.33685	323
708.84576	332
709.35461	291
709.86346	311
710.37225	315
710.88104	321
711.38977	305
711.8985	325
712.40723	315
712.91589	330
713.42456	302
713.93317	316
714.44177	315
714.95032	320
715.45886	326
715.96735	317
716.47583	304
716.98431	326
717.49274	301
718.00116	304
718.50952	307
719.01788	333
719.52618	335
720.03448	296
720.54272	340
721.05096	330
721.5592	314
722.06738	324
722.57556	318
723.08368	318
723.59174	336
724.09985	321
724.60791	326
725.11591	311
725.6239	305
726.13184	317
726.63977	315
727.14771	325
727.65558	319
728.16339	308
728.67126	302
729.17902	313
729.68683	301
730.19452	328
730.70227	322
731.2099	343
731.71759	293
732.22522	324
732.73279	328
733.24036	349
733.74792	329
734.25543	299
734.76288	329
735.27032	322
735.77777	338
736.28516	322
736.79254	312
737.29987	305
737.80719	295
738.31445	316
738.82172	307
739.32892	322
739.83612	322
740.34326	318
740.8504	328
741.35748	340
741.86456	322
742.37164	334
742.87866	324
743.38562	340
743.89258	317
744.39954	345
744.90643	318
745.41327	330
745.9201	327
746.42694	312
746.93372	303
747.44049	311
747.9472	333
748.45386	338
748.96057	308
749.46716	306
749.97375	342
750.48035	326
750.98688	315
751.49341	305
751.99988	290
752.50635	328
753.01276	297
753.51917	317
754.02551	311
754.53186	327
755.03815	302
755.54443	336
756.05066	326
756.55688	328
757.06305	326
757.56921	321
758.07532	319
758.58142	321
759.08746	321
759.59351	338
760.09949	306
760.60547	317
761.11139	316
761.61725	305
762.12317	313
762.62897	319
763.13483	335
763.64056	311
764.1463	320
764.65204	329
765.15771	319
765.66339	334
766.16901	300
766.67462	319
767.18018	325
767.68567	323
768.19116	317
768.69666	312
769.20209	336
769.70746	329
770.21283	307
770.7182	308
771.22351	321
771.72876	332
772.23401	298
772.73926	327
773.24445	326
773.74957	289
774.2547	342
774.75977	323
775.26483	320
775.76984	304
776.27484	308
776.77979	304
777.28473	313
777.78961	323
778.29449	324
778.79932	318
779.30408	334
779.80884	328
780.3136	338
780.8183	311
781.32294	307
781.82758	313
782.33215	350
782.83673	325
783.34131	304
783.84576	337
784.35028	333
784.85468	321
785.35907	294
785.86346	338
786.3678	316
786.87213	329
787.3764	322
787.88062	318
788.38483	317
788.88898	332
789.39313	304
789.89722	319
790.40131	322
790.90533	304
791.40936	300
791.91333	335
792.4173	307
792.9212	324
793.42505	311
793.92889	330
794.43268	330
794.93646	322
795.44019	316
795.94391	306
796.44757	327
796.95123	322
797.45483	323
797.95837	336
798.46191	337
798.96539	319
799.46887	334
799.97235	307
800.47571	324
800.97906	331
801.48242	307
801.98572	313
802.48895	334
802.99219	303
803.49536	331
803.99854	338
804.50165	328
805.00476	328
805.50781	326
806.01086	322
806.51379	332
807.01678	322
807.51971	340
808.02258	313
808.52539	333
809.02826	316
809.53101	328
810.03375	326
810.53644	318
811.03912	340
811.54175	303
812.04437	329
812.54694	353
813.04944	330
