Date and Time:                Sat Oct 18 08:18:27.673 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	288
478.84332	316
479.35983	334
479.87631	340
480.39282	316
480.9093	349
481.42575	323
481.94223	361
482.45868	339
482.97513	329
483.49158	347
484.00803	334
484.52444	314
485.04086	305
485.55728	329
486.07367	339
486.59006	344
487.10645	345
487.62283	346
488.13919	340
488.65555	350
489.17191	314
489.68826	337
490.20459	334
490.72092	341
491.23724	339
491.75354	335
492.26984	360
492.78613	322
493.30243	320
493.8187	362
494.33496	344
494.85123	354
495.36746	350
495.8837	352
496.39993	341
496.91617	368
497.43237	363
497.94858	347
498.46478	359
498.98096	339
499.49713	352
500.01331	342
500.52945	324
501.04562	372
501.56174	344
502.07788	349
502.59399	351
503.11011	363
503.62622	348
504.1423	348
504.65839	325
505.17447	372
505.69052	335
506.20657	350
506.72263	345
507.23865	333
507.75467	366
508.27069	354
508.78668	360
509.30267	347
509.81866	352
510.33463	356
510.85059	339
511.36655	344
511.88248	342
512.39844	345
512.91437	336
513.43024	352
513.94617	333
514.46204	348
514.97791	366
515.49377	366
516.00964	363
516.52551	340
517.04132	326
517.55719	339
518.073	332
518.58881	363
519.10461	355
519.62036	353
520.13617	343
520.65192	355
521.16766	358
521.68341	364
522.1991	351
522.71484	343
523.23053	369
523.74622	348
524.2619	346
524.77759	376
525.29327	334
525.8089	359
526.32452	337
526.84015	351
527.35577	349
527.8714	357
528.38696	323
528.90259	341
529.41815	343
529.93372	357
530.44922	342
530.96478	342
531.48029	353
531.99579	362
532.51129	355
533.02679	325
533.5423	319
534.05774	314
534.57318	317
535.08862	339
535.60406	314
536.11945	367
536.63489	337
537.15027	336
537.66565	350
538.18097	354
538.69635	359
539.21167	344
539.72699	348
540.24231	363
540.75763	339
541.27289	376
541.78821	339
542.30347	366
542.81873	358
543.33392	348
543.84918	344
544.36438	351
544.87958	334
545.39478	360
545.90991	322
546.42511	347
546.94025	363
547.45538	329
547.97052	341
548.4856	358
549.00073	327
549.51581	352
550.03088	344
550.5459	342
551.06097	336
551.57599	347
552.091	331
552.60602	351
553.12097	339
553.63593	347
554.15094	328
554.66583	356
555.18079	356
555.69568	348
556.21063	370
556.72552	1604
557.24036	563
557.75525	332
558.27008	353
558.78491	331
559.29974	357
559.81458	332
560.32935	336
560.84412	349
561.35889	350
561.87366	356
562.38837	332
562.90308	335
563.41779	337
563.9325	330
564.44714	339
564.96179	311
565.47644	334
565.99109	352
566.50574	343
567.02032	327
567.53491	346
568.0495	352
568.56403	320
569.07861	334
569.59314	341
570.1076	340
570.62213	343
571.1366	343
571.65106	343
572.16553	345
572.67999	346
573.1944	351
573.7088	358
574.22321	344
574.73755	329
575.25195	319
575.7663	337
576.28058	325
576.79492	325
577.3092	335
577.82349	340
578.33777	328
578.85205	328
579.36627	334
579.88049	331
580.39471	329
580.90887	343
581.42303	331
581.93719	324
582.45135	353
582.96545	321
583.47955	349
583.99365	331
584.50775	333
585.02179	355
585.53583	344
586.04987	320
586.5639	322
587.07788	336
587.59186	338
588.10583	337
588.61975	342
589.13373	333
589.64758	326
590.1615	326
590.67542	331
591.18927	307
591.70306	330
592.21692	361
592.73071	318
593.24451	353
593.7583	300
594.27209	323
594.78583	315
595.29956	337
595.81323	363
596.32697	328
596.84064	335
597.35425	341
597.86792	326
598.38153	327
598.89514	323
599.40875	329
599.9223	342
600.43585	341
600.9494	310
601.46289	333
601.97638	342
602.48987	316
603.00336	321
603.51678	321
604.03021	343
604.54364	310
605.05701	352
605.57043	320
606.08374	344
606.59711	337
607.11041	330
