Date and Time:                Sat Oct 18 08:21:52.134 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
683.36981	337
683.87994	314
684.39008	334
684.90015	331
685.41022	326
685.92023	329
686.43024	326
686.94025	340
687.4502	326
687.96014	309
688.47003	329
688.97992	325
689.48981	321
689.99963	318
690.50946	303
691.01923	327
691.52899	308
692.03876	309
692.54846	334
693.05817	320
693.56781	329
694.07745	327
694.58704	333
695.09662	297
695.6062	312
696.11572	316
696.62524	328
697.1347	319
697.64417	319
698.15363	317
698.66302	322
699.17242	310
699.68176	326
700.1911	323
700.70044	312
701.20972	300
701.71893	307
702.22815	321
702.73737	333
703.24652	333
703.75568	326
704.26483	309
704.77393	317
705.28302	317
705.79205	303
706.30103	333
706.81006	299
707.31903	308
707.82794	334
708.33685	337
708.84576	333
709.35461	307
709.86346	318
710.37225	308
710.88104	314
711.38977	311
711.8985	312
712.40723	324
712.91589	328
713.42456	303
713.93317	310
714.44177	312
714.95032	312
715.45886	331
715.96735	313
716.47583	330
716.98431	338
717.49274	319
718.00116	310
718.50952	318
719.01788	322
719.52618	320
720.03448	314
720.54272	321
721.05096	314
721.5592	300
722.06738	313
722.57556	326
723.08368	315
723.59174	307
724.09985	311
724.60791	318
725.11591	320
725.6239	320
726.13184	306
726.63977	328
727.14771	313
727.65558	328
728.16339	309
728.67126	337
729.17902	330
729.68683	318
730.19452	303
730.70227	318
731.2099	302
731.71759	332
732.22522	317
732.73279	300
733.24036	320
733.74792	322
734.25543	314
734.76288	321
735.27032	303
735.77777	323
736.28516	296
736.79254	316
737.29987	337
737.80719	318
738.31445	309
738.82172	327
739.32892	305
739.83612	335
740.34326	308
740.8504	301
741.35748	315
741.86456	321
742.37164	318
742.87866	295
743.38562	331
743.89258	324
744.39954	317
744.90643	301
745.41327	304
745.9201	334
746.42694	308
746.93372	313
747.44049	342
747.9472	335
748.45386	314
748.96057	312
749.46716	312
749.97375	296
750.48035	327
750.98688	309
751.49341	307
751.99988	328
752.50635	315
753.01276	309
753.51917	335
754.02551	312
754.53186	305
755.03815	335
755.54443	323
756.05066	321
756.55688	332
757.06305	323
757.56921	311
758.07532	331
758.58142	328
759.08746	329
759.59351	327
760.09949	331
760.60547	312
761.11139	317
761.61725	334
762.12317	316
762.62897	312
763.13483	306
763.64056	320
764.1463	297
764.65204	308
765.15771	322
765.66339	308
766.16901	322
766.67462	315
767.18018	329
767.68567	328
768.19116	315
768.69666	311
769.20209	325
769.70746	326
770.21283	323
770.7182	316
771.22351	310
771.72876	298
772.23401	318
772.73926	318
773.24445	312
773.74957	319
774.2547	323
774.75977	328
775.26483	306
775.76984	303
776.27484	321
776.77979	319
777.28473	325
777.78961	309
778.29449	306
778.79932	334
779.30408	334
779.80884	307
780.3136	310
780.8183	324
781.32294	336
781.82758	321
782.33215	330
782.83673	298
783.34131	322
783.84576	316
784.35028	318
784.85468	322
785.35907	320
785.86346	322
786.3678	312
786.87213	314
787.3764	312
787.88062	313
788.38483	298
788.88898	292
789.39313	312
789.89722	293
790.40131	302
790.90533	305
791.40936	316
791.91333	300
792.4173	326
792.9212	307
793.42505	308
793.92889	311
794.43268	283
794.93646	309
795.44019	312
795.94391	327
796.44757	310
796.95123	331
797.45483	324
797.95837	317
798.46191	323
798.96539	307
799.46887	305
799.97235	331
800.47571	315
800.97906	310
801.48242	318
801.98572	324
802.48895	337
802.99219	312
803.49536	303
803.99854	315
804.50165	318
805.00476	298
805.50781	312
806.01086	314
806.51379	308
807.01678	302
807.51971	311
808.02258	314
808.52539	328
809.02826	316
809.53101	332
810.03375	314
810.53644	307
811.03912	337
811.54175	317
812.04437	324
812.54694	330
813.04944	317
813.55194	326
814.05444	315
814.55682	321
815.05927	346
815.56158	322
816.0639	318
816.56622	296
817.06842	322
817.57068	326
818.07281	310
818.57495	307
819.07709	334
819.57916	305
820.08118	316
820.58319	322
821.08514	293
821.5871	334
822.08899	353
822.59082	330
823.09265	309
823.59442	312
824.09619	311
824.5979	332
825.09955	301
825.6012	319
826.10278	324
826.60437	339
827.1059	310
827.60736	329
828.10883	314
828.61023	333
829.11163	323
829.61298	311
830.11432	325
830.61554	309
831.11682	301
831.61798	318
832.11914	323
832.6203	320
833.1214	311
833.62244	310
834.12347	320
834.62445	323
835.12537	332
835.62628	332
836.12714	308
836.62799	358
837.12878	314
837.62952	315
838.13025	302
838.63092	285
839.13153	306
839.63214	331
840.13275	320
840.63324	330
841.13373	335
841.63422	314
842.13464	312
842.63501	324
843.13538	310
843.63568	313
844.13593	301
844.63617	350
845.13635	316
845.63647	295
846.1366	318
846.63672	325
847.13672	311
847.63672	322
848.13672	324
848.6366	323
849.13647	310
849.63635	326
850.13617	329
850.63593	329
851.13568	316
851.63538	330
852.13501	317
852.63464	328
853.13422	314
853.63373	308
854.13324	325
854.63275	323
855.13214	332
855.63153	311
856.13086	320
856.63019	337
857.12946	306
857.62866	322
858.12787	330
858.62701	328
859.12616	344
859.62524	332
860.12427	299
860.62323	321
861.12219	324
861.62109	319
862.12	317
862.61884	305
863.11761	323
863.61639	310
864.11511	319
864.61377	323
865.11243	340
865.61102	337
866.10962	317
866.60809	327
867.10663	326
867.60504	319
868.10345	320
868.60181	318
869.10016	316
869.59839	335
870.09668	329
870.59485	341
871.09302	370
871.59113	423
872.08923	427
872.58728	426
873.08527	453
873.58325	458
874.08118	431
874.57904	435
875.0769	479
875.57465	437
876.07245	486
876.57013	481
877.06781	476
877.56549	474
878.06305	438
878.56061	513
879.05817	479
879.5556	506
880.05304	451
880.55042	485
881.04779	504
881.5451	515
882.04236	444
882.53961	502
883.0368	465
883.53394	494
884.03107	495
884.52808	474
885.02515	505
