Date and Time:                Fri Oct 17 06:40:23.248 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
683.36981	323
683.87994	333
684.39008	301
684.90015	315
685.41022	330
685.92023	308
686.43024	333
686.94025	317
687.4502	299
687.96014	308
688.47003	316
688.97992	309
689.48981	325
689.99963	326
690.50946	321
691.01923	321
691.52899	331
692.03876	337
692.54846	334
693.05817	316
693.56781	317
694.07745	314
694.58704	316
695.09662	321
695.6062	312
696.11572	310
696.62524	332
697.1347	303
697.64417	315
698.15363	318
698.66302	310
699.17242	331
699.68176	319
700.1911	328
700.70044	315
701.20972	304
701.71893	324
702.22815	307
702.73737	319
703.24652	330
703.75568	334
704.26483	334
704.77393	336
705.28302	298
705.79205	324
706.30103	299
706.81006	312
707.31903	316
707.82794	315
708.33685	321
708.84576	324
709.35461	305
709.86346	310
710.37225	316
710.88104	301
711.38977	322
711.8985	315
712.40723	330
712.91589	333
713.42456	304
713.93317	317
714.44177	323
714.95032	302
715.45886	318
715.96735	327
716.47583	323
716.98431	316
717.49274	322
718.00116	329
718.50952	291
719.01788	324
719.52618	302
720.03448	320
720.54272	309
721.05096	344
721.5592	311
722.06738	309
722.57556	306
723.08368	307
723.59174	306
724.09985	326
724.60791	335
725.11591	304
725.6239	311
726.13184	314
726.63977	323
727.14771	310
727.65558	312
728.16339	334
728.67126	312
729.17902	326
729.68683	331
730.19452	320
730.70227	310
731.2099	345
731.71759	316
732.22522	311
732.73279	315
733.24036	340
733.74792	301
734.25543	328
734.76288	323
735.27032	302
735.77777	314
736.28516	299
736.79254	321
737.29987	325
737.80719	324
738.31445	309
738.82172	304
739.32892	317
739.83612	330
740.34326	318
740.8504	302
741.35748	315
741.86456	336
742.37164	338
742.87866	321
743.38562	310
743.89258	344
744.39954	310
744.90643	315
745.41327	321
745.9201	317
746.42694	339
746.93372	310
747.44049	320
747.9472	326
748.45386	336
748.96057	329
749.46716	337
749.97375	312
750.48035	324
750.98688	309
751.49341	325
751.99988	301
752.50635	322
753.01276	327
753.51917	318
754.02551	297
754.53186	292
755.03815	301
755.54443	320
756.05066	306
756.55688	330
757.06305	312
757.56921	334
758.07532	333
758.58142	324
759.08746	322
759.59351	298
760.09949	307
760.60547	322
761.11139	333
761.61725	322
762.12317	325
762.62897	327
763.13483	321
763.64056	320
764.1463	323
764.65204	294
765.15771	329
765.66339	327
766.16901	306
766.67462	310
767.18018	324
767.68567	322
768.19116	324
768.69666	317
769.20209	311
769.70746	311
770.21283	334
770.7182	297
771.22351	320
771.72876	299
772.23401	309
772.73926	327
773.24445	326
773.74957	329
774.2547	317
774.75977	317
775.26483	313
775.76984	329
776.27484	321
776.77979	318
777.28473	337
777.78961	318
778.29449	311
778.79932	297
779.30408	305
779.80884	320
780.3136	309
780.8183	311
781.32294	324
781.82758	313
782.33215	303
782.83673	309
783.34131	323
783.84576	298
784.35028	319
784.85468	326
785.35907	323
785.86346	314
786.3678	332
786.87213	304
787.3764	325
787.88062	319
788.38483	293
788.88898	326
789.39313	334
789.89722	312
790.40131	321
790.90533	329
791.40936	324
791.91333	314
792.4173	315
792.9212	327
793.42505	322
793.92889	321
794.43268	307
794.93646	300
795.44019	320
795.94391	304
796.44757	316
796.95123	325
797.45483	323
797.95837	314
798.46191	323
798.96539	299
799.46887	319
799.97235	303
800.47571	316
800.97906	308
801.48242	310
801.98572	314
802.48895	316
802.99219	300
803.49536	329
803.99854	352
804.50165	330
805.00476	318
805.50781	321
806.01086	325
806.51379	315
807.01678	310
807.51971	326
808.02258	310
808.52539	320
809.02826	321
809.53101	296
810.03375	332
810.53644	331
811.03912	319
811.54175	311
812.04437	312
812.54694	316
813.04944	318
813.55194	311
814.05444	305
814.55682	324
815.05927	316
815.56158	323
816.0639	330
816.56622	306
817.06842	323
817.57068	330
818.07281	347
818.57495	321
819.07709	319
819.57916	329
820.08118	320
820.58319	318
821.08514	324
821.5871	305
822.08899	346
822.59082	1687
823.09265	313
823.59442	324
824.09619	300
824.5979	300
825.09955	322
825.6012	314
826.10278	310
826.60437	310
827.1059	328
827.60736	305
828.10883	317
828.61023	322
829.11163	326
829.61298	318
830.11432	309
830.61554	317
831.11682	299
831.61798	335
832.11914	333
832.6203	318
833.1214	311
833.62244	299
834.12347	302
834.62445	335
835.12537	324
835.62628	323
836.12714	317
836.62799	307
837.12878	316
837.62952	313
838.13025	293
838.63092	298
839.13153	324
839.63214	315
840.13275	322
840.63324	328
841.13373	322
841.63422	338
842.13464	296
842.63501	312
843.13538	328
843.63568	334
844.13593	296
844.63617	327
845.13635	309
845.63647	315
846.1366	308
846.63672	320
847.13672	318
847.63672	310
848.13672	306
848.6366	320
849.13647	318
849.63635	322
850.13617	323
850.63593	306
851.13568	323
851.63538	324
852.13501	313
852.63464	310
853.13422	329
853.63373	295
854.13324	323
854.63275	326
855.13214	309
855.63153	311
856.13086	305
856.63019	313
857.12946	317
857.62866	330
858.12787	327
858.62701	319
859.12616	325
859.62524	308
860.12427	329
860.62323	331
861.12219	320
861.62109	320
862.12	323
862.61884	317
863.11761	325
863.61639	318
864.11511	337
864.61377	311
865.11243	328
865.61102	311
866.10962	319
866.60809	310
867.10663	300
867.60504	314
868.10345	317
868.60181	318
869.10016	318
869.59839	319
870.09668	345
870.59485	351
871.09302	374
871.59113	406
872.08923	437
872.58728	432
873.08527	422
873.58325	443
874.08118	418
874.57904	442
875.0769	439
875.57465	411
876.07245	447
876.57013	454
877.06781	476
877.56549	448
878.06305	430
878.56061	428
879.05817	456
879.5556	434
880.05304	433
880.55042	453
881.04779	452
881.5451	443
882.04236	462
882.53961	439
883.0368	447
883.53394	443
884.03107	461
884.52808	472
885.02515	449
