Date and Time:                Sun Nov 2 14:46:37.463 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	286
478.84332	382
479.35983	376
479.87631	413
480.39282	357
480.9093	353
481.42575	348
481.94223	368
482.45868	389
482.97513	360
483.49158	380
484.00803	387
484.52444	413
485.04086	415
485.55728	452
486.07367	460
486.59006	466
487.10645	546
487.62283	578
488.13919	552
488.65555	589
489.17191	591
489.68826	655
490.20459	619
490.72092	733
491.23724	667
491.75354	696
492.26984	776
492.78613	800
493.30243	820
493.8187	833
494.33496	840
494.85123	941
495.36746	931
495.8837	927
496.39993	965
496.91617	957
497.43237	986
497.94858	1060
498.46478	1107
498.98096	1100
499.49713	1065
500.01331	1124
500.52945	1098
501.04562	1112
501.56174	1126
502.07788	1186
502.59399	1137
503.11011	1136
503.62622	1137
504.1423	1180
504.65839	1162
505.17447	1134
505.69052	1154
506.20657	1080
506.72263	1115
507.23865	1140
507.75467	1068
508.27069	1177
508.78668	1131
509.30267	1240
509.81866	1242
510.33463	1249
510.85059	1160
511.36655	1273
511.88248	1136
512.39844	1169
512.91437	1144
513.43024	1183
513.94617	1186
514.46204	1174
514.97791	1159
515.49377	1177
516.00964	1187
516.52551	1132
517.04132	1191
517.55719	1171
518.073	1198
518.58881	1223
519.10461	1176
519.62036	1207
520.13617	1152
520.65192	1143
521.16766	1195
521.68341	1153
522.1991	1179
522.71484	1153
523.23053	1186
523.74622	1169
524.2619	1191
524.77759	1184
525.29327	1164
525.8089	1102
526.32452	1131
526.84015	1090
527.35577	1175
527.8714	1156
528.38696	1141
528.90259	1128
529.41815	1159
529.93372	1052
530.44922	1125
530.96478	1144
531.48029	1133
531.99579	1114
532.51129	1079
533.02679	1179
533.5423	1054
534.05774	1078
534.57318	1071
535.08862	1098
535.60406	1044
536.11945	1138
536.63489	1121
537.15027	1084
537.66565	1061
538.18097	1100
538.69635	1080
539.21167	1082
539.72699	1023
540.24231	1091
540.75763	1081
541.27289	1041
541.78821	1011
542.30347	1049
542.81873	1052
543.33392	933
543.84918	1007
544.36438	1082
544.87958	1037
545.39478	1059
545.90991	988
546.42511	1027
546.94025	1048
547.45538	986
547.97052	997
548.4856	1052
549.00073	1014
549.51581	1012
550.03088	1039
550.5459	1024
551.06097	992
551.57599	983
552.091	998
552.60602	1095
553.12097	1069
553.63593	1061
554.15094	1088
554.66583	1044
555.18079	1037
555.69568	1040
556.21063	1103
556.72552	1064
557.24036	1096
557.75525	991
558.27008	1018
558.78491	1060
559.29974	1083
559.81458	1103
560.32935	1105
560.84412	1058
561.35889	1120
561.87366	1164
562.38837	1117
562.90308	1161
563.41779	1157
563.9325	1148
564.44714	1173
564.96179	1126
565.47644	1211
565.99109	1211
566.50574	1211
567.02032	1212
567.53491	1240
568.0495	1326
568.56403	1249
569.07861	1264
569.59314	1294
570.1076	1321
570.62213	1333
571.1366	1298
571.65106	1305
572.16553	1299
572.67999	1339
573.1944	1436
573.7088	1297
574.22321	1403
574.73755	1366
575.25195	1465
575.7663	1385
576.28058	1453
576.79492	1402
577.3092	1407
577.82349	1399
578.33777	1461
578.85205	1603
579.36627	1573
579.88049	1554
580.39471	1569
580.90887	1488
581.42303	1588
581.93719	1627
582.45135	1596
582.96545	1589
583.47955	1659
583.99365	1671
584.50775	1679
585.02179	1616
585.53583	1769
586.04987	1742
586.5639	1744
587.07788	1798
587.59186	1678
588.10583	1781
588.61975	1804
589.13373	1877
589.64758	1876
590.1615	1855
590.67542	1774
591.18927	1948
591.70306	1845
592.21692	1830
592.73071	1908
593.24451	1802
593.7583	1997
594.27209	1932
