Date and Time:                Fri Oct 17 08:25:07.790 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	277
478.84332	327
479.35983	321
479.87631	332
480.39282	315
480.9093	310
481.42575	330
481.94223	326
482.45868	320
482.97513	328
483.49158	369
484.00803	359
484.52444	439
485.04086	435
485.55728	495
486.07367	527
486.59006	616
487.10645	607
487.62283	688
488.13919	734
488.65555	719
489.17191	771
489.68826	864
490.20459	893
490.72092	906
491.23724	976
491.75354	1084
492.26984	1141
492.78613	1152
493.30243	1291
493.8187	1283
494.33496	1334
494.85123	1300
495.36746	1430
495.8837	1468
496.39993	1543
496.91617	1599
497.43237	1673
497.94858	1754
498.46478	1806
498.98096	1985
499.49713	2005
500.01331	2052
500.52945	2263
501.04562	2331
501.56174	2546
502.07788	2819
502.59399	2929
503.11011	3349
503.62622	3696
504.1423	4040
504.65839	4423
505.17447	5044
505.69052	5612
506.20657	6111
506.72263	6803
507.23865	7643
507.75467	8387
508.27069	9286
508.78668	10154
509.30267	11162
509.81866	12402
510.33463	13402
510.85059	14631
511.36655	15511
511.88248	16298
512.39844	17215
512.91437	17669
513.43024	18154
513.94617	18664
514.46204	19133
514.97791	19624
515.49377	19748
516.00964	19871
516.52551	19873
517.04132	19682
517.55719	19699
518.073	19218
518.58881	18746
519.10461	18610
519.62036	17990
520.13617	17305
520.65192	17147
521.16766	16310
521.68341	15427
522.1991	14666
522.71484	14100
523.23053	13037
523.74622	12174
524.2619	11140
524.77759	9967
525.29327	9023
525.8089	8064
526.32452	7093
526.84015	6325
527.35577	5665
527.8714	4845
528.38696	4468
528.90259	3998
529.41815	3500
529.93372	3121
530.44922	2927
530.96478	2742
531.48029	2523
531.99579	2440
532.51129	2461
533.02679	2224
533.5423	2191
534.05774	2157
534.57318	2218
535.08862	2168
535.60406	2160
536.11945	2132
536.63489	2085
537.15027	2103
537.66565	2082
538.18097	2030
538.69635	1828
539.21167	1940
539.72699	1891
540.24231	1892
540.75763	1954
541.27289	1749
541.78821	1784
542.30347	1679
542.81873	1658
543.33392	1677
543.84918	1586
544.36438	1577
544.87958	1501
545.39478	1610
545.90991	1500
546.42511	1514
546.94025	1534
547.45538	1458
547.97052	1455
548.4856	1447
549.00073	1443
549.51581	1389
550.03088	1368
550.5459	1308
551.06097	1325
551.57599	1261
552.091	1311
552.60602	1343
553.12097	1264
553.63593	1283
554.15094	1231
554.66583	1270
555.18079	1248
555.69568	1247
556.21063	1241
556.72552	1186
557.24036	1175
557.75525	1247
558.27008	1189
558.78491	1193
559.29974	1184
559.81458	1153
560.32935	1118
560.84412	1178
561.35889	1156
561.87366	1133
562.38837	1120
562.90308	1151
563.41779	1078
563.9325	1129
564.44714	1135
564.96179	1147
565.47644	1108
565.99109	1052
566.50574	1080
567.02032	1040
567.53491	1114
568.0495	1053
568.56403	994
569.07861	1032
569.59314	1034
570.1076	1021
570.62213	970
571.1366	980
571.65106	1000
572.16553	1032
572.67999	975
573.1944	987
573.7088	923
574.22321	982
574.73755	953
575.25195	927
575.7663	943
576.28058	824
576.79492	949
577.3092	895
577.82349	872
578.33777	912
578.85205	965
579.36627	896
579.88049	839
580.39471	867
580.90887	876
581.42303	889
581.93719	875
582.45135	899
582.96545	816
583.47955	851
583.99365	832
584.50775	839
585.02179	839
585.53583	808
586.04987	797
586.5639	841
587.07788	778
587.59186	776
588.10583	806
588.61975	745
589.13373	773
589.64758	790
590.1615	726
590.67542	761
591.18927	778
591.70306	737
592.21692	775
592.73071	752
593.24451	719
593.7583	703
594.27209	761
594.78583	764
595.29956	740
595.81323	721
