Date and Time:                Sun Nov 2 14:17:43.175 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
653.74164	301
654.25311	311
654.76459	312
655.276	318
655.78741	301
656.29883	306
656.81018	328
657.32153	310
657.83289	322
658.34418	318
658.85547	308
659.3667	304
659.87793	320
660.38916	301
660.90033	287
661.4115	318
661.92267	302
662.43378	311
662.94489	300
663.45593	297
663.96698	315
664.47803	306
664.98907	324
665.50006	314
666.01099	311
666.52191	313
667.03284	295
667.54376	313
668.05463	306
668.56549	315
669.07629	322
669.5871	318
670.0979	303
670.60864	333
671.11938	285
671.63007	314
672.14075	327
672.65143	279
673.16205	303
673.67267	301
674.18329	307
674.69385	296
675.20435	304
675.7149	305
676.2254	309
676.73584	317
677.24628	290
677.75671	298
678.26715	313
678.77753	339
679.28784	330
679.79822	295
680.30847	320
680.81879	318
681.32904	311
681.83923	312
682.34949	310
682.85968	311
683.36981	306
683.87994	328
684.39008	322
684.90015	299
685.41022	311
685.92023	308
686.43024	311
686.94025	313
687.4502	299
687.96014	315
688.47003	321
688.97992	304
689.48981	329
689.99963	307
690.50946	303
691.01923	298
691.52899	321
692.03876	292
692.54846	319
693.05817	298
693.56781	333
694.07745	304
694.58704	306
695.09662	315
695.6062	292
696.11572	300
696.62524	310
697.1347	302
697.64417	302
698.15363	298
698.66302	317
699.17242	312
699.68176	332
700.1911	302
700.70044	313
701.20972	318
701.71893	315
702.22815	298
702.73737	320
703.24652	320
703.75568	327
704.26483	328
704.77393	310
705.28302	292
705.79205	319
706.30103	316
706.81006	316
707.31903	305
707.82794	314
708.33685	317
708.84576	327
709.35461	305
709.86346	327
710.37225	318
710.88104	315
711.38977	316
711.8985	326
712.40723	339
712.91589	328
713.42456	317
713.93317	318
714.44177	326
714.95032	321
715.45886	324
715.96735	292
716.47583	313
716.98431	312
717.49274	308
718.00116	306
718.50952	312
719.01788	308
719.52618	310
720.03448	289
720.54272	314
721.05096	306
721.5592	295
722.06738	312
722.57556	333
723.08368	325
723.59174	313
724.09985	321
724.60791	298
725.11591	297
725.6239	303
726.13184	293
726.63977	332
727.14771	300
727.65558	309
728.16339	308
728.67126	313
729.17902	312
729.68683	309
730.19452	322
