Date and Time:                Sat Oct 18 13:43:14.356 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	310
478.84332	368
479.35983	344
479.87631	377
480.39282	374
480.9093	345
481.42575	362
481.94223	345
482.45868	352
482.97513	379
483.49158	382
484.00803	387
484.52444	369
485.04086	425
485.55728	397
486.07367	407
486.59006	438
487.10645	409
487.62283	435
488.13919	433
488.65555	446
489.17191	439
489.68826	439
490.20459	453
490.72092	487
491.23724	501
491.75354	487
492.26984	504
492.78613	516
493.30243	539
493.8187	527
494.33496	539
494.85123	480
495.36746	552
495.8837	598
496.39993	585
496.91617	575
497.43237	532
497.94858	578
498.46478	577
498.98096	581
499.49713	589
500.01331	593
500.52945	590
501.04562	583
501.56174	600
502.07788	611
502.59399	562
503.11011	586
503.62622	589
504.1423	589
504.65839	602
505.17447	586
505.69052	583
506.20657	624
506.72263	589
507.23865	562
507.75467	579
508.27069	586
508.78668	591
509.30267	565
509.81866	610
510.33463	549
510.85059	586
511.36655	592
511.88248	578
512.39844	581
512.91437	540
513.43024	556
513.94617	529
514.46204	558
514.97791	582
515.49377	580
516.00964	558
516.52551	516
517.04132	568
517.55719	551
518.073	572
518.58881	531
519.10461	582
519.62036	542
520.13617	555
520.65192	539
521.16766	541
521.68341	565
522.1991	496
522.71484	530
523.23053	547
523.74622	560
524.2619	526
524.77759	551
525.29327	502
525.8089	537
526.32452	549
526.84015	528
527.35577	493
527.8714	560
528.38696	565
528.90259	513
529.41815	527
529.93372	543
530.44922	564
530.96478	537
531.48029	480
531.99579	549
532.51129	497
533.02679	497
533.5423	515
534.05774	541
534.57318	538
535.08862	547
535.60406	538
536.11945	566
536.63489	540
537.15027	522
537.66565	543
538.18097	563
538.69635	521
539.21167	553
539.72699	533
540.24231	545
540.75763	546
541.27289	569
541.78821	535
542.30347	548
542.81873	558
543.33392	573
543.84918	519
544.36438	564
544.87958	540
545.39478	573
545.90991	551
546.42511	567
546.94025	555
547.45538	545
547.97052	590
548.4856	571
549.00073	595
549.51581	566
550.03088	603
550.5459	626
551.06097	616
551.57599	621
552.091	607
552.60602	616
553.12097	590
553.63593	638
554.15094	618
554.66583	671
555.18079	629
555.69568	599
556.21063	689
556.72552	648
557.24036	717
557.75525	672
558.27008	694
558.78491	724
559.29974	665
559.81458	705
560.32935	754
560.84412	790
561.35889	769
561.87366	733
562.38837	797
562.90308	795
563.41779	791
563.9325	805
564.44714	800
564.96179	755
565.47644	857
565.99109	831
566.50574	856
567.02032	841
567.53491	882
568.0495	933
568.56403	917
569.07861	909
569.59314	926
570.1076	917
570.62213	954
571.1366	945
571.65106	984
572.16553	1032
572.67999	1068
573.1944	1005
573.7088	1013
574.22321	1074
574.73755	1017
575.25195	1041
575.7663	1137
576.28058	1085
576.79492	1082
577.3092	1118
577.82349	1128
578.33777	1028
578.85205	1140
579.36627	1092
579.88049	1163
580.39471	1137
580.90887	1146
581.42303	1229
581.93719	1181
582.45135	1209
582.96545	1237
583.47955	1293
583.99365	1271
584.50775	1313
585.02179	1324
585.53583	1240
586.04987	1274
586.5639	1266
587.07788	1332
587.59186	1341
588.10583	1403
588.61975	1440
589.13373	1341
589.64758	1374
590.1615	1356
590.67542	1355
591.18927	1420
591.70306	1427
592.21692	1395
592.73071	1362
593.24451	1441
593.7583	1418
594.27209	1500
594.78583	1476
595.29956	1488
595.81323	1454
596.32697	1439
596.84064	1460
597.35425	1498
597.86792	1511
598.38153	1527
598.89514	1471
599.40875	1491
599.9223	1596
600.43585	1482
600.9494	1548
601.46289	1566
601.97638	1435
602.48987	1488
603.00336	1508
