Date and Time:                Fri Oct 17 08:16:50.386 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	286
478.84332	339
479.35983	327
479.87631	318
480.39282	325
480.9093	295
481.42575	349
481.94223	311
482.45868	318
482.97513	342
483.49158	338
484.00803	302
484.52444	321
485.04086	347
485.55728	336
486.07367	357
486.59006	318
487.10645	333
487.62283	338
488.13919	347
488.65555	332
489.17191	359
489.68826	358
490.20459	333
490.72092	320
491.23724	354
491.75354	322
492.26984	345
492.78613	338
493.30243	346
493.8187	340
494.33496	342
494.85123	337
495.36746	327
495.8837	363
496.39993	345
496.91617	317
497.43237	365
497.94858	355
498.46478	344
498.98096	363
499.49713	332
500.01331	344
500.52945	347
501.04562	355
501.56174	366
502.07788	348
502.59399	355
503.11011	353
503.62622	328
504.1423	326
504.65839	360
505.17447	318
505.69052	335
506.20657	343
506.72263	348
507.23865	382
507.75467	370
508.27069	345
508.78668	339
509.30267	374
509.81866	366
510.33463	357
510.85059	349
511.36655	372
511.88248	353
512.39844	358
512.91437	348
513.43024	389
513.94617	339
514.46204	369
514.97791	347
515.49377	365
516.00964	327
516.52551	363
517.04132	343
517.55719	352
518.073	350
518.58881	324
519.10461	351
519.62036	354
520.13617	328
520.65192	343
521.16766	339
521.68341	348
522.1991	336
522.71484	359
523.23053	369
523.74622	356
524.2619	358
524.77759	354
525.29327	344
525.8089	338
526.32452	344
526.84015	335
527.35577	333
527.8714	322
528.38696	353
528.90259	355
529.41815	370
529.93372	360
530.44922	342
530.96478	345
531.48029	335
531.99579	347
532.51129	342
533.02679	366
533.5423	343
534.05774	354
534.57318	365
535.08862	331
535.60406	353
536.11945	323
536.63489	349
537.15027	375
537.66565	327
538.18097	350
538.69635	353
539.21167	336
539.72699	350
540.24231	332
540.75763	332
541.27289	345
541.78821	329
542.30347	357
542.81873	342
543.33392	336
543.84918	330
544.36438	342
544.87958	329
545.39478	350
545.90991	334
546.42511	343
546.94025	336
547.45538	343
547.97052	337
548.4856	331
549.00073	301
549.51581	344
550.03088	336
550.5459	356
551.06097	348
551.57599	356
552.091	344
552.60602	352
553.12097	332
553.63593	350
554.15094	335
554.66583	310
555.18079	335
555.69568	351
556.21063	323
556.72552	355
557.24036	334
557.75525	347
558.27008	329
558.78491	342
559.29974	337
559.81458	314
560.32935	322
560.84412	310
561.35889	366
561.87366	327
562.38837	333
562.90308	347
563.41779	346
563.9325	322
564.44714	341
564.96179	360
565.47644	354
565.99109	354
566.50574	319
567.02032	323
567.53491	352
568.0495	342
568.56403	330
569.07861	309
569.59314	330
570.1076	353
570.62213	340
571.1366	318
571.65106	339
572.16553	339
572.67999	346
573.1944	329
573.7088	333
574.22321	310
574.73755	327
575.25195	349
575.7663	346
576.28058	331
576.79492	316
577.3092	322
577.82349	338
578.33777	342
578.85205	323
579.36627	353
579.88049	351
580.39471	334
580.90887	336
581.42303	332
581.93719	351
582.45135	323
582.96545	333
583.47955	347
583.99365	338
584.50775	344
585.02179	341
585.53583	333
586.04987	327
586.5639	357
587.07788	334
587.59186	348
588.10583	318
588.61975	329
589.13373	309
589.64758	302
590.1615	336
590.67542	331
591.18927	341
591.70306	318
592.21692	337
592.73071	315
593.24451	312
593.7583	322
594.27209	318
594.78583	334
595.29956	324
595.81323	332
596.32697	327
596.84064	348
597.35425	355
597.86792	320
598.38153	332
598.89514	329
599.40875	319
599.9223	328
600.43585	338
600.9494	323
601.46289	319
601.97638	336
602.48987	320
603.00336	323
603.51678	319
604.03021	310
604.54364	323
605.05701	336
605.57043	322
606.08374	333
606.59711	328
607.11041	300
