Date and Time:                Sun Nov 2 15:01:29.864 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	322
478.84332	364
479.35983	361
479.87631	379
480.39282	365
480.9093	371
481.42575	382
481.94223	380
482.45868	361
482.97513	360
483.49158	374
484.00803	388
484.52444	374
485.04086	400
485.55728	437
486.07367	457
486.59006	444
487.10645	485
487.62283	526
488.13919	527
488.65555	509
489.17191	558
489.68826	584
490.20459	588
490.72092	661
491.23724	656
491.75354	657
492.26984	694
492.78613	720
493.30243	751
493.8187	798
494.33496	719
494.85123	821
495.36746	828
495.8837	835
496.39993	846
496.91617	887
497.43237	900
497.94858	931
498.46478	968
498.98096	1010
499.49713	989
500.01331	970
500.52945	916
501.04562	990
501.56174	1005
502.07788	1027
502.59399	1058
503.11011	997
503.62622	944
504.1423	1007
504.65839	1048
505.17447	1135
505.69052	999
506.20657	1021
506.72263	949
507.23865	1024
507.75467	1032
508.27069	1087
508.78668	1057
509.30267	1042
509.81866	1048
510.33463	1040
510.85059	1044
511.36655	1053
511.88248	1095
512.39844	1035
512.91437	1053
513.43024	1041
513.94617	1073
514.46204	1067
514.97791	1028
515.49377	1063
516.00964	1010
516.52551	992
517.04132	1059
517.55719	1076
518.073	1009
518.58881	989
519.10461	1027
519.62036	992
520.13617	1035
520.65192	1048
521.16766	1041
521.68341	1050
522.1991	1022
522.71484	967
523.23053	1022
523.74622	992
524.2619	1006
524.77759	976
525.29327	1036
525.8089	997
526.32452	1022
526.84015	933
527.35577	949
527.8714	1037
528.38696	993
528.90259	993
529.41815	1015
529.93372	1024
530.44922	1020
530.96478	957
531.48029	976
531.99579	977
532.51129	934
533.02679	989
533.5423	925
534.05774	971
534.57318	990
535.08862	924
535.60406	983
536.11945	975
536.63489	947
537.15027	958
537.66565	910
538.18097	928
538.69635	893
539.21167	906
539.72699	934
540.24231	871
540.75763	879
541.27289	885
541.78821	866
542.30347	910
542.81873	921
543.33392	846
543.84918	873
544.36438	915
544.87958	917
545.39478	845
545.90991	842
546.42511	884
546.94025	818
547.45538	903
547.97052	863
548.4856	895
549.00073	810
549.51581	921
550.03088	786
550.5459	849
551.06097	831
551.57599	868
552.091	895
552.60602	871
553.12097	885
553.63593	870
554.15094	883
554.66583	865
555.18079	887
555.69568	864
556.21063	830
556.72552	858
557.24036	830
557.75525	850
558.27008	850
558.78491	895
559.29974	862
559.81458	899
560.32935	962
560.84412	872
561.35889	903
561.87366	900
562.38837	856
562.90308	914
563.41779	872
563.9325	847
564.44714	901
564.96179	922
565.47644	885
565.99109	885
566.50574	928
567.02032	938
567.53491	919
568.0495	932
568.56403	906
569.07861	958
569.59314	951
570.1076	967
570.62213	932
571.1366	987
571.65106	906
572.16553	979
572.67999	961
573.1944	968
573.7088	1025
574.22321	954
574.73755	1047
575.25195	1020
575.7663	983
576.28058	1055
576.79492	1028
577.3092	990
577.82349	1104
578.33777	1069
578.85205	1097
579.36627	1056
579.88049	1075
580.39471	1092
580.90887	1174
581.42303	1075
581.93719	1102
582.45135	1079
582.96545	1122
583.47955	1169
583.99365	1068
584.50775	1166
585.02179	1165
585.53583	1218
586.04987	1156
586.5639	1196
587.07788	1195
587.59186	1234
588.10583	1212
588.61975	1247
589.13373	1250
589.64758	1292
590.1615	1267
590.67542	1265
591.18927	1265
591.70306	1374
592.21692	1349
592.73071	1292
593.24451	1306
593.7583	1322
594.27209	1348
594.78583	1449
595.29956	1333
595.81323	1374
596.32697	1327
596.84064	1364
597.35425	1434
597.86792	1424
598.38153	1328
598.89514	1359
599.40875	1401
599.9223	1417
600.43585	1357
