Date and Time:                Fri Oct 17 08:08:43.610 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -88.333
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	305
478.84332	328
479.35983	323
479.87631	336
480.39282	321
480.9093	321
481.42575	318
481.94223	323
482.45868	306
482.97513	319
483.49158	325
484.00803	347
484.52444	327
485.04086	304
485.55728	309
486.07367	316
486.59006	308
487.10645	313
487.62283	332
488.13919	334
488.65555	336
489.17191	313
489.68826	338
490.20459	327
490.72092	318
491.23724	315
491.75354	321
492.26984	314
492.78613	323
493.30243	333
493.8187	329
494.33496	314
494.85123	313
495.36746	314
495.8837	340
496.39993	314
496.91617	313
497.43237	309
497.94858	321
498.46478	289
498.98096	324
499.49713	342
500.01331	286
500.52945	315
501.04562	309
501.56174	334
502.07788	311
502.59399	306
503.11011	330
503.62622	325
504.1423	305
504.65839	318
505.17447	310
505.69052	297
506.20657	326
506.72263	312
507.23865	307
507.75467	324
508.27069	314
508.78668	324
509.30267	329
509.81866	340
510.33463	324
510.85059	340
511.36655	298
511.88248	322
512.39844	335
512.91437	322
513.43024	311
513.94617	310
514.46204	329
514.97791	304
515.49377	345
516.00964	324
516.52551	304
517.04132	301
517.55719	310
518.073	330
518.58881	310
519.10461	309
519.62036	306
520.13617	326
520.65192	308
521.16766	316
521.68341	317
522.1991	1081
522.71484	4490
523.23053	301
523.74622	330
524.2619	335
524.77759	307
525.29327	316
525.8089	315
526.32452	317
526.84015	329
527.35577	321
527.8714	323
528.38696	314
528.90259	313
529.41815	314
529.93372	317
530.44922	296
530.96478	309
531.48029	313
531.99579	327
532.51129	310
533.02679	328
533.5423	333
534.05774	340
534.57318	316
535.08862	319
535.60406	328
536.11945	321
536.63489	334
537.15027	339
537.66565	325
538.18097	291
538.69635	324
539.21167	322
539.72699	323
540.24231	327
540.75763	338
541.27289	307
541.78821	298
542.30347	303
542.81873	310
543.33392	325
543.84918	328
544.36438	318
544.87958	320
545.39478	340
545.90991	310
546.42511	319
546.94025	303
547.45538	325
547.97052	307
548.4856	314
549.00073	318
549.51581	336
550.03088	315
550.5459	308
551.06097	318
551.57599	310
552.091	314
552.60602	335
553.12097	323
553.63593	300
554.15094	312
554.66583	321
555.18079	328
555.69568	313
556.21063	328
556.72552	328
557.24036	302
557.75525	321
558.27008	331
558.78491	325
559.29974	323
559.81458	307
560.32935	319
560.84412	333
561.35889	315
561.87366	298
562.38837	309
562.90308	322
563.41779	320
563.9325	335
564.44714	317
