Date and Time:                Sun Nov 2 14:31:48.826 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	255
478.84332	329
479.35983	313
479.87631	320
480.39282	329
480.9093	317
481.42575	317
481.94223	322
482.45868	331
482.97513	343
483.49158	325
484.00803	332
484.52444	380
485.04086	430
485.55728	512
486.07367	555
486.59006	616
487.10645	646
487.62283	690
488.13919	696
488.65555	741
489.17191	796
489.68826	861
490.20459	961
490.72092	1009
491.23724	1048
491.75354	1089
492.26984	1167
492.78613	1171
493.30243	1265
493.8187	1259
494.33496	1307
494.85123	1418
495.36746	1558
495.8837	1556
496.39993	1593
496.91617	1721
497.43237	1874
497.94858	1846
498.46478	1928
498.98096	1980
499.49713	2066
500.01331	2156
500.52945	2363
501.04562	2524
501.56174	2496
502.07788	2847
502.59399	3013
503.11011	3353
503.62622	3638
504.1423	4005
504.65839	4351
505.17447	5006
505.69052	5327
506.20657	5960
506.72263	6816
507.23865	7327
507.75467	8426
508.27069	9074
508.78668	10020
509.30267	11314
509.81866	12419
510.33463	13245
510.85059	14287
511.36655	15329
511.88248	16566
512.39844	17209
512.91437	17926
513.43024	18678
513.94617	19144
514.46204	19641
514.97791	20134
515.49377	20243
516.00964	20071
516.52551	20372
517.04132	19985
517.55719	20244
518.073	19598
518.58881	19250
519.10461	19147
519.62036	18859
520.13617	18105
520.65192	17437
521.16766	16866
521.68341	16217
522.1991	15264
522.71484	14407
523.23053	13650
523.74622	12644
524.2619	11932
524.77759	10606
525.29327	9836
525.8089	8672
526.32452	7811
526.84015	6850
527.35577	6034
527.8714	5380
528.38696	4820
528.90259	4203
529.41815	3808
529.93372	3444
530.44922	3134
530.96478	2867
531.48029	2647
531.99579	2574
532.51129	2373
533.02679	2459
533.5423	2348
534.05774	2367
534.57318	2321
535.08862	2345
535.60406	2227
536.11945	2127
536.63489	2227
537.15027	2156
537.66565	2111
538.18097	2058
538.69635	2113
539.21167	1926
539.72699	1941
540.24231	1918
540.75763	1886
541.27289	1859
541.78821	1792
542.30347	1695
542.81873	1741
543.33392	1765
543.84918	1666
544.36438	1610
544.87958	1536
545.39478	1557
545.90991	1508
546.42511	1506
546.94025	1530
547.45538	1545
547.97052	1490
548.4856	1406
549.00073	1472
549.51581	1450
550.03088	1403
550.5459	1443
551.06097	1365
551.57599	1400
552.091	1355
552.60602	1360
553.12097	1342
553.63593	1338
554.15094	1309
554.66583	1370
555.18079	1247
555.69568	1287
556.21063	1271
556.72552	1173
557.24036	1288
557.75525	1250
558.27008	1197
558.78491	1238
559.29974	1194
559.81458	1178
560.32935	1240
560.84412	1208
561.35889	1189
561.87366	1153
562.38837	1104
562.90308	1148
563.41779	1195
563.9325	1144
564.44714	1117
564.96179	1189
565.47644	1181
565.99109	1081
566.50574	1123
567.02032	1146
567.53491	1078
568.0495	1087
568.56403	1127
569.07861	1051
569.59314	1004
570.1076	1045
570.62213	1048
571.1366	1074
571.65106	1050
572.16553	1018
572.67999	1026
573.1944	983
573.7088	984
574.22321	1010
574.73755	957
575.25195	966
575.7663	916
576.28058	928
576.79492	1012
577.3092	920
577.82349	980
578.33777	906
578.85205	889
579.36627	937
579.88049	925
580.39471	899
580.90887	871
581.42303	892
581.93719	878
582.45135	932
582.96545	841
583.47955	865
583.99365	824
584.50775	887
585.02179	862
585.53583	879
586.04987	833
586.5639	805
587.07788	782
587.59186	871
588.10583	812
588.61975	777
589.13373	807
589.64758	788
590.1615	786
590.67542	871
591.18927	783
591.70306	775
592.21692	771
592.73071	764
593.24451	745
593.7583	739
594.27209	742
594.78583	787
595.29956	808
