Date and Time:                Wed Oct 22 10:01:36.847 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	324
478.84332	361
479.35983	375
479.87631	358
480.39282	371
480.9093	355
481.42575	373
481.94223	373
482.45868	365
482.97513	390
483.49158	381
484.00803	370
484.52444	388
485.04086	400
485.55728	425
486.07367	396
486.59006	420
487.10645	429
487.62283	453
488.13919	437
488.65555	468
489.17191	481
489.68826	466
490.20459	530
490.72092	505
491.23724	507
491.75354	570
492.26984	584
492.78613	567
493.30243	587
493.8187	554
494.33496	597
494.85123	555
495.36746	612
495.8837	641
496.39993	626
496.91617	646
497.43237	611
497.94858	652
498.46478	698
498.98096	688
499.49713	698
500.01331	687
500.52945	732
501.04562	740
501.56174	718
502.07788	718
502.59399	707
503.11011	705
503.62622	684
504.1423	671
504.65839	686
505.17447	681
505.69052	692
506.20657	680
506.72263	745
507.23865	742
507.75467	648
508.27069	714
508.78668	688
509.30267	710
509.81866	793
510.33463	707
510.85059	673
511.36655	690
511.88248	690
512.39844	694
512.91437	696
513.43024	690
513.94617	706
514.46204	693
514.97791	692
515.49377	687
516.00964	714
516.52551	611
517.04132	697
517.55719	668
518.073	712
518.58881	675
519.10461	671
519.62036	682
520.13617	679
520.65192	670
521.16766	695
521.68341	697
522.1991	690
522.71484	694
523.23053	697
523.74622	681
524.2619	623
524.77759	637
525.29327	632
525.8089	665
526.32452	680
526.84015	667
527.35577	643
527.8714	639
528.38696	715
528.90259	605
529.41815	686
529.93372	673
530.44922	645
530.96478	634
531.48029	632
531.99579	586
532.51129	651
533.02679	699
533.5423	654
534.05774	652
534.57318	674
535.08862	656
535.60406	666
536.11945	659
536.63489	631
537.15027	632
537.66565	591
538.18097	647
538.69635	613
539.21167	691
539.72699	642
540.24231	622
540.75763	694
541.27289	622
541.78821	645
542.30347	647
542.81873	650
543.33392	660
543.84918	645
544.36438	674
544.87958	645
545.39478	610
545.90991	675
546.42511	682
546.94025	677
547.45538	676
547.97052	654
548.4856	718
549.00073	691
549.51581	666
550.03088	767
550.5459	704
551.06097	722
551.57599	738
552.091	706
552.60602	737
553.12097	689
553.63593	706
554.15094	684
554.66583	680
555.18079	767
555.69568	761
556.21063	770
556.72552	715
557.24036	825
557.75525	744
558.27008	804
558.78491	800
559.29974	798
559.81458	775
560.32935	807
560.84412	828
561.35889	833
561.87366	887
562.38837	888
562.90308	899
563.41779	885
563.9325	905
564.44714	886
564.96179	942
565.47644	892
565.99109	916
566.50574	960
567.02032	910
567.53491	1009
568.0495	951
568.56403	1006
569.07861	996
569.59314	989
570.1076	1015
570.62213	1094
571.1366	1087
571.65106	1065
572.16553	1030
572.67999	1142
573.1944	1097
573.7088	1169
574.22321	1212
574.73755	1149
575.25195	1214
575.7663	1177
576.28058	1183
576.79492	1240
577.3092	1198
577.82349	1258
578.33777	1177
578.85205	1282
579.36627	1289
579.88049	1263
580.39471	1282
580.90887	1279
581.42303	1323
581.93719	1326
582.45135	1358
582.96545	1348
583.47955	1360
583.99365	1413
584.50775	1389
585.02179	1399
585.53583	1473
586.04987	1432
586.5639	1523
587.07788	1400
587.59186	1473
588.10583	1493
588.61975	1407
589.13373	1439
589.64758	1545
590.1615	1547
590.67542	1524
591.18927	1623
591.70306	1525
592.21692	1573
592.73071	1533
593.24451	1579
593.7583	1551
594.27209	1661
594.78583	1620
595.29956	1642
595.81323	1629
596.32697	1639
596.84064	1645
597.35425	1650
597.86792	1654
598.38153	1592
598.89514	1692
599.40875	1623
599.9223	1685
600.43585	1754
600.9494	1637
601.46289	1711
601.97638	1617
602.48987	1627
