Date and Time:                Wed Oct 22 10:03:39.795 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	315
478.84332	358
479.35983	351
479.87631	362
480.39282	366
480.9093	355
481.42575	378
481.94223	361
482.45868	368
482.97513	358
483.49158	366
484.00803	346
484.52444	378
485.04086	390
485.55728	432
486.07367	430
486.59006	412
487.10645	427
487.62283	444
488.13919	414
488.65555	420
489.17191	481
489.68826	492
490.20459	514
490.72092	517
491.23724	554
491.75354	552
492.26984	506
492.78613	540
493.30243	566
493.8187	575
494.33496	558
494.85123	619
495.36746	631
495.8837	594
496.39993	624
496.91617	690
497.43237	652
497.94858	704
498.46478	703
498.98096	695
499.49713	685
500.01331	668
500.52945	690
501.04562	677
501.56174	669
502.07788	658
502.59399	660
503.11011	705
503.62622	691
504.1423	611
504.65839	681
505.17447	681
505.69052	694
506.20657	700
506.72263	735
507.23865	687
507.75467	708
508.27069	718
508.78668	700
509.30267	639
509.81866	674
510.33463	712
510.85059	697
511.36655	691
511.88248	713
512.39844	750
512.91437	683
513.43024	643
513.94617	717
514.46204	686
514.97791	690
515.49377	690
516.00964	700
516.52551	707
517.04132	697
517.55719	693
518.073	718
518.58881	639
519.10461	674
519.62036	692
520.13617	682
520.65192	624
521.16766	652
521.68341	648
522.1991	682
522.71484	648
523.23053	642
523.74622	643
524.2619	653
524.77759	674
525.29327	687
525.8089	645
526.32452	654
526.84015	682
527.35577	655
527.8714	698
528.38696	607
528.90259	630
529.41815	622
529.93372	669
530.44922	621
530.96478	605
531.48029	627
531.99579	641
532.51129	599
533.02679	621
533.5423	649
534.05774	632
534.57318	602
535.08862	705
535.60406	660
536.11945	677
536.63489	607
537.15027	626
537.66565	671
538.18097	654
538.69635	621
539.21167	660
539.72699	690
540.24231	657
540.75763	688
541.27289	624
541.78821	650
542.30347	658
542.81873	716
543.33392	691
543.84918	664
544.36438	642
544.87958	647
545.39478	693
545.90991	686
546.42511	633
546.94025	651
547.45538	695
547.97052	681
548.4856	683
549.00073	679
549.51581	700
550.03088	668
550.5459	690
551.06097	688
551.57599	728
552.091	697
552.60602	755
553.12097	703
553.63593	750
554.15094	713
554.66583	775
555.18079	754
555.69568	744
556.21063	719
556.72552	760
557.24036	790
557.75525	836
558.27008	793
558.78491	774
559.29974	790
559.81458	832
560.32935	802
560.84412	848
561.35889	811
561.87366	836
562.38837	856
562.90308	885
563.41779	900
563.9325	885
564.44714	935
564.96179	896
565.47644	962
565.99109	901
566.50574	951
567.02032	984
567.53491	946
568.0495	991
568.56403	1011
569.07861	994
569.59314	961
570.1076	1052
570.62213	1035
571.1366	1023
571.65106	1102
572.16553	1057
572.67999	1085
573.1944	1133
573.7088	1134
574.22321	1149
574.73755	1195
575.25195	1159
575.7663	1158
576.28058	1205
576.79492	1267
577.3092	1232
577.82349	1236
578.33777	1304
578.85205	1271
579.36627	1202
579.88049	1275
580.39471	1354
580.90887	1281
581.42303	1251
581.93719	1302
582.45135	1345
582.96545	1354
583.47955	1352
583.99365	1407
584.50775	1380
585.02179	1498
585.53583	1435
586.04987	1422
586.5639	1442
587.07788	1465
587.59186	1490
588.10583	1508
588.61975	1499
589.13373	1544
589.64758	1487
590.1615	1435
590.67542	1514
591.18927	1542
591.70306	1523
592.21692	1565
592.73071	1585
593.24451	1593
593.7583	1565
594.27209	1557
594.78583	1604
595.29956	1572
595.81323	1568
596.32697	1634
596.84064	1679
597.35425	1672
597.86792	1594
598.38153	1649
598.89514	1608
599.40875	1639
599.9223	1694
600.43585	1648
600.9494	1654
601.46289	1615
601.97638	1648
602.48987	1694
