Date and Time:                Thu Oct 30 08:29:33.016 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -89.631
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	263
478.84332	341
479.35983	309
479.87631	313
480.39282	300
480.9093	313
481.42575	326
481.94223	314
482.45868	310
482.97513	328
483.49158	342
484.00803	321
484.52444	294
485.04086	325
485.55728	306
486.07367	304
486.59006	331
487.10645	316
487.62283	326
488.13919	303
488.65555	332
489.17191	314
489.68826	307
490.20459	312
490.72092	327
491.23724	299
491.75354	310
492.26984	342
492.78613	337
493.30243	341
493.8187	345
494.33496	323
494.85123	321
495.36746	317
495.8837	310
496.39993	313
496.91617	286
497.43237	305
497.94858	323
498.46478	320
498.98096	325
499.49713	308
500.01331	308
500.52945	294
501.04562	301
501.56174	340
502.07788	295
502.59399	321
503.11011	303
503.62622	303
504.1423	326
504.65839	321
505.17447	320
505.69052	337
506.20657	291
506.72263	312
507.23865	310
507.75467	323
508.27069	310
508.78668	309
509.30267	314
509.81866	314
510.33463	335
510.85059	314
511.36655	346
511.88248	311
512.39844	306
512.91437	329
513.43024	299
513.94617	311
514.46204	321
514.97791	338
515.49377	316
516.00964	300
516.52551	318
517.04132	335
517.55719	317
518.073	323
518.58881	300
519.10461	309
519.62036	323
520.13617	321
520.65192	340
521.16766	298
521.68341	337
522.1991	339
522.71484	302
523.23053	316
523.74622	317
524.2619	309
524.77759	314
525.29327	332
525.8089	310
526.32452	336
526.84015	312
527.35577	324
527.8714	320
528.38696	305
528.90259	320
529.41815	327
529.93372	316
530.44922	315
530.96478	294
531.48029	310
531.99579	329
532.51129	305
533.02679	307
533.5423	327
534.05774	302
534.57318	318
535.08862	321
535.60406	302
536.11945	327
536.63489	306
537.15027	300
537.66565	312
538.18097	310
538.69635	308
539.21167	317
539.72699	306
540.24231	304
540.75763	310
541.27289	315
541.78821	319
542.30347	305
542.81873	320
543.33392	320
543.84918	313
544.36438	313
544.87958	318
545.39478	311
545.90991	304
546.42511	300
546.94025	315
547.45538	292
547.97052	323
548.4856	335
549.00073	334
549.51581	328
550.03088	289
550.5459	316
551.06097	310
551.57599	304
552.091	323
552.60602	328
553.12097	338
553.63593	314
554.15094	313
554.66583	329
555.18079	320
555.69568	336
556.21063	300
556.72552	311
557.24036	312
557.75525	311
558.27008	327
558.78491	346
559.29974	310
559.81458	319
560.32935	314
560.84412	296
561.35889	293
561.87366	304
562.38837	330
562.90308	326
563.41779	307
563.9325	311
564.44714	311
564.96179	314
565.47644	306
565.99109	317
566.50574	317
567.02032	332
567.53491	328
568.0495	308
568.56403	308
569.07861	322
569.59314	308
570.1076	303
570.62213	312
571.1366	301
571.65106	298
572.16553	306
572.67999	321
573.1944	321
573.7088	322
574.22321	300
574.73755	321
575.25195	313
575.7663	318
576.28058	318
576.79492	331
577.3092	317
577.82349	299
578.33777	305
578.85205	327
579.36627	309
579.88049	334
580.39471	311
580.90887	308
581.42303	311
581.93719	330
582.45135	306
582.96545	305
583.47955	319
583.99365	320
584.50775	305
585.02179	323
585.53583	320
586.04987	309
586.5639	324
587.07788	323
587.59186	300
588.10583	315
588.61975	314
589.13373	317
589.64758	322
590.1615	312
590.67542	308
591.18927	302
591.70306	312
592.21692	331
592.73071	308
593.24451	301
593.7583	312
594.27209	326
594.78583	314
595.29956	304
595.81323	308
596.32697	312
596.84064	316
597.35425	302
597.86792	314
598.38153	325
598.89514	311
599.40875	295
599.9223	332
600.43585	294
600.9494	324
601.46289	302
601.97638	318
602.48987	333
