Date and Time:                Thu Oct 30 08:30:11.261 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -90.28
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	266
478.84332	305
479.35983	314
479.87631	323
480.39282	303
480.9093	327
481.42575	318
481.94223	303
482.45868	318
482.97513	320
483.49158	307
484.00803	311
484.52444	324
485.04086	336
485.55728	338
486.07367	318
486.59006	301
487.10645	322
487.62283	328
488.13919	307
488.65555	320
489.17191	318
489.68826	319
490.20459	307
490.72092	310
491.23724	312
491.75354	311
492.26984	325
492.78613	311
493.30243	310
493.8187	310
494.33496	308
494.85123	297
495.36746	315
495.8837	317
496.39993	305
496.91617	314
497.43237	306
497.94858	302
498.46478	299
498.98096	297
499.49713	324
500.01331	310
500.52945	339
501.04562	312
501.56174	315
502.07788	324
502.59399	294
503.11011	309
503.62622	336
504.1423	315
504.65839	304
505.17447	307
505.69052	332
506.20657	313
506.72263	309
507.23865	317
507.75467	326
508.27069	313
508.78668	289
509.30267	320
509.81866	296
510.33463	312
510.85059	309
511.36655	334
511.88248	314
512.39844	322
512.91437	322
513.43024	324
513.94617	324
514.46204	304
514.97791	321
515.49377	298
516.00964	287
516.52551	301
517.04132	334
517.55719	331
518.073	309
518.58881	313
519.10461	305
519.62036	323
520.13617	304
520.65192	318
521.16766	318
521.68341	324
522.1991	319
522.71484	329
523.23053	328
523.74622	319
524.2619	316
524.77759	300
525.29327	304
525.8089	299
526.32452	307
526.84015	329
527.35577	317
527.8714	308
528.38696	320
528.90259	302
529.41815	319
529.93372	310
530.44922	310
530.96478	300
531.48029	304
531.99579	322
532.51129	305
533.02679	299
533.5423	295
534.05774	319
534.57318	336
535.08862	314
535.60406	310
536.11945	319
536.63489	328
537.15027	321
537.66565	341
538.18097	294
538.69635	314
539.21167	320
539.72699	305
540.24231	301
540.75763	307
541.27289	314
541.78821	321
542.30347	322
542.81873	330
543.33392	308
543.84918	299
544.36438	328
544.87958	324
545.39478	324
545.90991	343
546.42511	308
546.94025	299
547.45538	335
547.97052	305
548.4856	318
549.00073	327
549.51581	324
550.03088	309
550.5459	327
551.06097	330
551.57599	297
552.091	330
552.60602	307
553.12097	326
553.63593	300
554.15094	315
554.66583	319
555.18079	304
555.69568	315
556.21063	339
556.72552	295
557.24036	335
557.75525	333
558.27008	328
558.78491	318
559.29974	311
559.81458	296
560.32935	313
560.84412	313
561.35889	309
561.87366	311
562.38837	309
562.90308	312
563.41779	292
563.9325	317
564.44714	301
564.96179	310
565.47644	332
565.99109	316
566.50574	296
567.02032	307
567.53491	314
568.0495	305
568.56403	316
569.07861	332
569.59314	287
570.1076	317
570.62213	311
571.1366	326
571.65106	285
572.16553	301
572.67999	306
573.1944	308
573.7088	312
574.22321	311
574.73755	329
575.25195	318
575.7663	321
576.28058	298
576.79492	294
577.3092	324
577.82349	296
578.33777	302
578.85205	312
579.36627	299
579.88049	331
580.39471	308
580.90887	312
581.42303	288
581.93719	313
582.45135	338
582.96545	298
583.47955	319
583.99365	303
584.50775	295
585.02179	316
585.53583	312
586.04987	327
586.5639	307
587.07788	317
587.59186	329
588.10583	310
588.61975	323
589.13373	320
589.64758	273
590.1615	300
590.67542	325
591.18927	280
591.70306	314
592.21692	329
592.73071	311
593.24451	308
593.7583	296
594.27209	316
594.78583	307
595.29956	311
595.81323	298
596.32697	318
596.84064	332
597.35425	294
597.86792	316
598.38153	326
598.89514	318
599.40875	321
599.9223	315
600.43585	324
600.9494	338
601.46289	299
601.97638	304
602.48987	318
603.00336	318
603.51678	327
604.03021	297
604.54364	324
605.05701	316
605.57043	317
606.08374	337
606.59711	309
607.11041	299
607.62372	309
608.13702	304
608.65027	325
609.16351	300
609.67676	317
610.19	296
610.70319	320
611.21637	308
611.72949	312
612.24268	315
612.75574	310
613.26886	300
613.78192	293
614.29504	309
614.80804	308
615.32111	311
615.83411	307
616.34711	321
616.86005	334
617.37299	318
617.88593	301
618.39886	303
618.91174	288
619.42462	315
619.9375	304
620.45032	303
620.96313	312
621.47595	333
621.98871	300
622.50146	317
623.01422	320
623.52692	296
624.03967	294
624.55231	298
625.065	318
625.57764	320
626.09027	305
626.60284	322
627.11542	302
627.62799	313
628.14056	296
628.65308	312
629.16559	307
629.6781	306
630.19055	317
630.703	323
631.21539	324
631.72784	305
632.24017	327
632.75256	318
633.26489	314
633.77722	311
634.28955	296
634.80182	315
635.31409	308
635.82635	324
636.33856	319
636.85077	298
637.36292	319
637.87512	291
638.38721	299
638.89935	317
639.41144	317
639.92352	317
640.43561	320
640.94763	305
641.45966	315
641.97162	295
642.48358	313
642.99554	328
643.50751	300
644.01941	315
644.53131	310
645.04315	322
645.55499	337
646.06683	317
646.57861	294
647.09045	327
647.60217	293
648.11395	315
648.62567	301
649.13733	318
649.64905	305
650.16064	323
650.6723	328
651.1839	294
651.6955	300
652.20709	342
652.71863	313
653.23016	313
653.74164	304
654.25311	303
654.76459	327
655.276	309
655.78741	321
656.29883	319
656.81018	296
657.32153	303
657.83289	300
658.34418	324
658.85547	304
659.3667	317
659.87793	304
660.38916	310
660.90033	335
661.4115	337
661.92267	319
662.43378	316
662.94489	298
663.45593	315
663.96698	291
664.47803	304
664.98907	312
665.50006	317
666.01099	309
666.52191	327
