Date and Time:                Thu Oct 30 08:25:44.618 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -88.982
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
682.85968	308
683.36981	338
683.87994	311
684.39008	320
684.90015	296
685.41022	312
685.92023	309
686.43024	313
686.94025	308
687.4502	327
687.96014	315
688.47003	329
688.97992	307
689.48981	304
689.99963	318
690.50946	321
691.01923	305
691.52899	311
692.03876	312
692.54846	336
693.05817	325
693.56781	322
694.07745	308
694.58704	313
695.09662	293
695.6062	315
696.11572	313
696.62524	327
697.1347	309
697.64417	307
698.15363	308
698.66302	311
699.17242	307
699.68176	308
700.1911	303
700.70044	302
701.20972	315
701.71893	294
702.22815	323
702.73737	310
703.24652	329
703.75568	297
704.26483	319
704.77393	304
705.28302	311
705.79205	344
706.30103	296
706.81006	302
707.31903	316
707.82794	317
708.33685	309
708.84576	288
709.35461	315
709.86346	302
710.37225	315
710.88104	310
711.38977	325
711.8985	319
712.40723	292
712.91589	332
713.42456	315
713.93317	304
714.44177	321
714.95032	323
715.45886	319
715.96735	306
716.47583	308
716.98431	312
717.49274	314
718.00116	308
718.50952	312
719.01788	312
719.52618	315
720.03448	324
720.54272	298
721.05096	315
721.5592	306
722.06738	308
722.57556	324
723.08368	311
723.59174	300
724.09985	325
724.60791	306
725.11591	315
725.6239	305
726.13184	306
726.63977	293
727.14771	306
727.65558	300
728.16339	296
728.67126	321
729.17902	305
729.68683	310
730.19452	301
730.70227	313
731.2099	306
731.71759	310
732.22522	319
732.73279	336
733.24036	330
733.74792	325
734.25543	318
734.76288	313
735.27032	319
735.77777	315
736.28516	304
736.79254	317
737.29987	315
737.80719	299
738.31445	304
738.82172	293
739.32892	328
739.83612	295
740.34326	329
740.8504	304
741.35748	324
741.86456	316
742.37164	294
742.87866	297
743.38562	316
743.89258	309
744.39954	325
744.90643	306
745.41327	296
745.9201	317
746.42694	336
746.93372	326
747.44049	326
747.9472	298
748.45386	304
748.96057	303
749.46716	317
749.97375	331
750.48035	326
750.98688	323
751.49341	312
751.99988	320
752.50635	313
753.01276	310
753.51917	317
754.02551	564
754.53186	2510
755.03815	293
755.54443	299
756.05066	327
756.55688	311
757.06305	340
757.56921	311
758.07532	331
758.58142	305
759.08746	317
759.59351	296
760.09949	310
760.60547	312
761.11139	311
761.61725	328
762.12317	326
762.62897	327
763.13483	310
763.64056	298
764.1463	315
764.65204	315
765.15771	308
765.66339	329
766.16901	314
766.67462	302
767.18018	324
767.68567	314
768.19116	332
768.69666	310
769.20209	301
769.70746	317
770.21283	298
770.7182	307
771.22351	316
771.72876	296
772.23401	316
772.73926	319
773.24445	315
773.74957	299
774.2547	304
774.75977	317
775.26483	299
775.76984	321
776.27484	333
776.77979	310
777.28473	311
777.78961	318
778.29449	325
778.79932	308
779.30408	308
779.80884	314
780.3136	323
780.8183	312
781.32294	306
781.82758	324
782.33215	319
782.83673	318
783.34131	289
783.84576	311
784.35028	320
784.85468	309
785.35907	303
785.86346	313
786.3678	329
786.87213	330
787.3764	309
787.88062	312
788.38483	306
788.88898	338
789.39313	325
789.89722	326
790.40131	305
790.90533	333
791.40936	331
791.91333	301
792.4173	320
792.9212	327
793.42505	313
793.92889	314
794.43268	308
794.93646	310
795.44019	301
795.94391	328
796.44757	334
796.95123	315
797.45483	300
797.95837	316
798.46191	311
798.96539	324
799.46887	321
799.97235	308
800.47571	312
800.97906	330
801.48242	335
801.98572	323
802.48895	318
802.99219	323
803.49536	313
803.99854	311
804.50165	310
805.00476	325
805.50781	341
806.01086	323
806.51379	314
807.01678	317
807.51971	319
808.02258	318
808.52539	333
809.02826	301
809.53101	299
810.03375	312
810.53644	324
811.03912	316
811.54175	313
812.04437	279
812.54694	297
813.04944	294
813.55194	318
814.05444	313
814.55682	336
815.05927	319
815.56158	331
816.0639	309
816.56622	310
817.06842	314
817.57068	304
818.07281	301
818.57495	315
819.07709	301
819.57916	315
820.08118	305
820.58319	308
821.08514	318
821.5871	297
822.08899	307
822.59082	285
823.09265	317
823.59442	291
824.09619	311
824.5979	313
825.09955	348
825.6012	314
826.10278	305
826.60437	315
827.1059	307
827.60736	305
828.10883	316
828.61023	308
829.11163	326
829.61298	297
830.11432	324
830.61554	307
831.11682	328
831.61798	318
832.11914	321
832.6203	320
833.1214	308
833.62244	311
834.12347	317
834.62445	325
835.12537	337
835.62628	295
836.12714	324
836.62799	327
837.12878	327
837.62952	323
838.13025	301
838.63092	299
839.13153	320
839.63214	322
840.13275	312
840.63324	288
841.13373	328
841.63422	322
842.13464	316
842.63501	310
843.13538	336
843.63568	299
844.13593	337
844.63617	311
845.13635	306
845.63647	314
846.1366	321
846.63672	337
847.13672	314
847.63672	304
848.13672	321
848.6366	300
849.13647	314
849.63635	314
850.13617	326
850.63593	313
851.13568	335
851.63538	319
852.13501	308
852.63464	284
853.13422	315
853.63373	325
854.13324	296
854.63275	324
855.13214	313
855.63153	312
856.13086	311
856.63019	305
