Date and Time:                Thu Oct 30 08:34:53.862 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
683.36981	322
683.87994	329
684.39008	318
684.90015	322
685.41022	323
685.92023	329
686.43024	314
686.94025	342
687.4502	309
687.96014	320
688.47003	326
688.97992	320
689.48981	329
689.99963	314
690.50946	326
691.01923	323
691.52899	312
692.03876	323
692.54846	320
693.05817	310
693.56781	335
694.07745	306
694.58704	316
695.09662	325
695.6062	293
696.11572	319
696.62524	328
697.1347	303
697.64417	313
698.15363	309
698.66302	312
699.17242	314
699.68176	320
700.1911	332
700.70044	329
701.20972	315
701.71893	324
702.22815	308
702.73737	305
703.24652	323
703.75568	316
704.26483	325
704.77393	317
705.28302	317
705.79205	307
706.30103	300
706.81006	306
707.31903	329
707.82794	319
708.33685	323
708.84576	317
709.35461	309
709.86346	327
710.37225	304
710.88104	314
711.38977	326
711.8985	317
712.40723	320
712.91589	312
713.42456	318
713.93317	321
714.44177	329
714.95032	305
715.45886	325
715.96735	315
716.47583	326
716.98431	308
717.49274	327
718.00116	324
718.50952	323
719.01788	325
719.52618	323
720.03448	328
720.54272	328
721.05096	314
721.5592	308
722.06738	329
722.57556	295
723.08368	327
723.59174	322
724.09985	339
724.60791	318
725.11591	308
725.6239	299
726.13184	345
726.63977	302
727.14771	325
727.65558	331
728.16339	312
728.67126	317
729.17902	326
729.68683	326
730.19452	292
730.70227	317
731.2099	320
731.71759	324
732.22522	337
732.73279	327
733.24036	307
733.74792	334
734.25543	326
734.76288	329
735.27032	333
735.77777	303
736.28516	326
736.79254	310
737.29987	319
737.80719	319
738.31445	302
738.82172	305
739.32892	306
739.83612	300
740.34326	338
740.8504	320
741.35748	331
741.86456	303
742.37164	311
742.87866	304
743.38562	299
743.89258	312
744.39954	293
744.90643	301
745.41327	325
745.9201	306
746.42694	321
746.93372	324
747.44049	299
747.9472	332
748.45386	299
748.96057	304
749.46716	326
749.97375	291
750.48035	328
750.98688	316
751.49341	310
751.99988	325
752.50635	297
753.01276	339
753.51917	309
754.02551	302
754.53186	304
755.03815	312
755.54443	301
756.05066	298
756.55688	322
757.06305	332
757.56921	312
758.07532	319
758.58142	312
759.08746	314
759.59351	304
760.09949	338
760.60547	315
761.11139	339
761.61725	322
762.12317	338
762.62897	311
763.13483	309
763.64056	293
764.1463	314
764.65204	316
765.15771	309
765.66339	320
766.16901	311
766.67462	314
767.18018	327
767.68567	307
768.19116	311
768.69666	308
769.20209	298
769.70746	313
770.21283	328
770.7182	307
771.22351	320
771.72876	335
772.23401	310
772.73926	330
773.24445	323
773.74957	317
774.2547	327
774.75977	299
775.26483	319
775.76984	311
776.27484	350
776.77979	291
777.28473	328
777.78961	302
778.29449	325
778.79932	318
779.30408	304
779.80884	324
780.3136	304
780.8183	320
781.32294	316
781.82758	320
782.33215	326
782.83673	325
783.34131	308
783.84576	312
784.35028	315
784.85468	302
785.35907	329
785.86346	297
786.3678	326
786.87213	319
787.3764	327
787.88062	325
788.38483	326
788.88898	330
789.39313	303
789.89722	328
790.40131	297
790.90533	320
791.40936	327
791.91333	324
792.4173	311
792.9212	317
793.42505	332
793.92889	305
794.43268	310
794.93646	323
795.44019	312
795.94391	317
796.44757	329
796.95123	293
797.45483	301
797.95837	320
798.46191	313
798.96539	317
799.46887	317
799.97235	322
800.47571	320
800.97906	308
801.48242	308
801.98572	342
802.48895	309
802.99219	297
803.49536	291
803.99854	312
804.50165	325
805.00476	319
805.50781	328
806.01086	316
806.51379	328
807.01678	330
807.51971	312
808.02258	332
808.52539	309
809.02826	305
809.53101	313
810.03375	311
810.53644	321
811.03912	303
811.54175	337
812.04437	301
812.54694	289
813.04944	327
813.55194	317
814.05444	334
814.55682	309
815.05927	315
815.56158	305
816.0639	326
816.56622	324
817.06842	315
817.57068	316
818.07281	316
818.57495	294
819.07709	312
819.57916	322
820.08118	347
820.58319	319
821.08514	318
821.5871	322
822.08899	316
822.59082	316
823.09265	303
823.59442	317
824.09619	319
824.5979	306
825.09955	319
825.6012	290
826.10278	310
826.60437	322
827.1059	314
827.60736	298
828.10883	298
828.61023	307
829.11163	300
829.61298	306
830.11432	315
830.61554	321
831.11682	337
831.61798	310
832.11914	328
832.6203	312
833.1214	328
833.62244	313
834.12347	303
834.62445	322
835.12537	331
835.62628	298
836.12714	323
836.62799	318
837.12878	323
837.62952	318
838.13025	301
838.63092	303
839.13153	314
839.63214	327
840.13275	307
840.63324	310
841.13373	313
841.63422	314
842.13464	318
842.63501	315
843.13538	325
843.63568	320
844.13593	325
844.63617	307
845.13635	343
845.63647	333
846.1366	319
846.63672	334
847.13672	322
847.63672	296
848.13672	312
848.6366	335
849.13647	307
849.63635	317
850.13617	319
850.63593	300
851.13568	306
851.63538	317
852.13501	303
852.63464	296
853.13422	321
853.63373	319
854.13324	310
854.63275	308
855.13214	289
855.63153	315
856.13086	327
856.63019	315
857.12946	344
857.62866	282
858.12787	330
858.62701	332
859.12616	313
859.62524	302
860.12427	328
860.62323	308
861.12219	319
861.62109	318
862.12	309
862.61884	302
863.11761	298
863.61639	326
864.11511	328
864.61377	302
865.11243	295
865.61102	299
866.10962	325
866.60809	309
867.10663	309
867.60504	333
868.10345	318
868.60181	336
869.10016	304
869.59839	322
870.09668	324
870.59485	368
871.09302	348
871.59113	394
872.08923	401
872.58728	410
873.08527	390
873.58325	459
874.08118	435
874.57904	471
875.0769	433
875.57465	432
876.07245	439
876.57013	463
877.06781	447
877.56549	466
878.06305	442
878.56061	470
879.05817	449
879.5556	473
880.05304	447
880.55042	449
881.04779	487
881.5451	474
882.04236	499
882.53961	471
883.0368	449
883.53394	464
884.03107	463
884.52808	457
885.02515	486
