Date and Time:                Thu Oct 30 08:36:15.720 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	278
478.84332	340
479.35983	321
479.87631	327
480.39282	307
480.9093	344
481.42575	329
481.94223	339
482.45868	327
482.97513	323
483.49158	327
484.00803	323
484.52444	350
485.04086	321
485.55728	329
486.07367	325
486.59006	339
487.10645	344
487.62283	315
488.13919	338
488.65555	340
489.17191	367
489.68826	343
490.20459	336
490.72092	337
491.23724	327
491.75354	351
492.26984	340
492.78613	335
493.30243	330
493.8187	347
494.33496	360
494.85123	318
495.36746	346
495.8837	340
496.39993	345
496.91617	351
497.43237	357
497.94858	379
498.46478	376
498.98096	372
499.49713	339
500.01331	370
500.52945	363
501.04562	336
501.56174	348
502.07788	377
502.59399	330
503.11011	354
503.62622	358
504.1423	346
504.65839	326
505.17447	351
505.69052	334
506.20657	358
506.72263	348
507.23865	327
507.75467	339
508.27069	358
508.78668	348
509.30267	350
509.81866	358
510.33463	350
510.85059	345
511.36655	355
511.88248	336
512.39844	358
512.91437	336
513.43024	352
513.94617	348
514.46204	352
514.97791	351
515.49377	372
516.00964	349
516.52551	354
517.04132	369
517.55719	358
518.073	343
518.58881	344
519.10461	362
519.62036	346
520.13617	336
520.65192	339
521.16766	369
521.68341	345
522.1991	377
522.71484	356
523.23053	366
523.74622	347
524.2619	358
524.77759	327
525.29327	343
525.8089	345
526.32452	351
526.84015	355
527.35577	355
527.8714	372
528.38696	352
528.90259	354
529.41815	385
529.93372	312
530.44922	319
530.96478	381
531.48029	353
531.99579	343
532.51129	351
533.02679	348
533.5423	313
534.05774	368
534.57318	343
535.08862	363
535.60406	351
536.11945	349
536.63489	339
537.15027	357
537.66565	347
538.18097	361
538.69635	352
539.21167	339
539.72699	334
540.24231	359
540.75763	368
541.27289	372
541.78821	345
542.30347	349
542.81873	352
543.33392	341
543.84918	359
544.36438	359
544.87958	340
545.39478	356
545.90991	348
546.42511	332
546.94025	344
547.45538	356
547.97052	354
548.4856	325
549.00073	331
549.51581	343
550.03088	339
550.5459	320
551.06097	352
551.57599	354
552.091	367
552.60602	333
553.12097	340
553.63593	337
554.15094	340
554.66583	309
555.18079	330
555.69568	358
556.21063	329
556.72552	319
557.24036	338
557.75525	335
558.27008	355
558.78491	331
559.29974	344
559.81458	351
560.32935	324
560.84412	329
561.35889	336
561.87366	318
562.38837	348
562.90308	347
563.41779	355
563.9325	345
564.44714	304
564.96179	348
565.47644	320
565.99109	345
566.50574	347
567.02032	348
567.53491	343
568.0495	319
568.56403	334
569.07861	352
569.59314	362
570.1076	320
570.62213	345
571.1366	314
571.65106	327
572.16553	340
572.67999	338
573.1944	335
573.7088	341
574.22321	331
574.73755	339
575.25195	347
575.7663	337
576.28058	364
576.79492	339
577.3092	349
577.82349	328
578.33777	339
578.85205	316
579.36627	334
579.88049	346
580.39471	325
580.90887	343
581.42303	312
581.93719	336
582.45135	333
582.96545	355
583.47955	334
583.99365	303
584.50775	334
585.02179	338
585.53583	348
586.04987	329
586.5639	328
587.07788	331
587.59186	334
588.10583	335
588.61975	332
589.13373	342
589.64758	314
590.1615	318
590.67542	319
591.18927	323
591.70306	321
592.21692	322
592.73071	377
593.24451	311
593.7583	316
594.27209	340
594.78583	326
595.29956	315
595.81323	345
596.32697	319
596.84064	337
597.35425	357
597.86792	321
598.38153	337
598.89514	319
599.40875	327
599.9223	317
600.43585	328
600.9494	333
601.46289	352
601.97638	341
602.48987	322
603.00336	362
603.51678	347
604.03021	340
604.54364	327
605.05701	320
605.57043	333
606.08374	318
606.59711	317
607.11041	331
