Date and Time:                Sun Nov 2 14:23:38.889 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
683.36981	316
683.87994	330
684.39008	335
684.90015	324
685.41022	322
685.92023	332
686.43024	325
686.94025	320
687.4502	332
687.96014	333
688.47003	313
688.97992	312
689.48981	327
689.99963	334
690.50946	324
691.01923	312
691.52899	337
692.03876	322
692.54846	329
693.05817	325
693.56781	311
694.07745	318
694.58704	337
695.09662	336
695.6062	351
696.11572	321
696.62524	303
697.1347	320
697.64417	308
698.15363	316
698.66302	311
699.17242	298
699.68176	325
700.1911	319
700.70044	343
701.20972	302
701.71893	299
702.22815	308
702.73737	341
703.24652	319
703.75568	303
704.26483	332
704.77393	310
705.28302	313
705.79205	302
706.30103	310
706.81006	315
707.31903	329
707.82794	319
708.33685	334
708.84576	308
709.35461	317
709.86346	314
710.37225	329
710.88104	329
711.38977	324
711.8985	321
712.40723	327
712.91589	299
713.42456	326
713.93317	334
714.44177	328
714.95032	349
715.45886	317
715.96735	316
716.47583	328
716.98431	312
717.49274	315
718.00116	321
718.50952	310
719.01788	329
719.52618	312
720.03448	311
720.54272	301
721.05096	309
721.5592	321
722.06738	320
722.57556	341
723.08368	324
723.59174	321
724.09985	331
724.60791	329
725.11591	329
725.6239	298
726.13184	327
726.63977	289
727.14771	303
727.65558	321
728.16339	297
728.67126	308
729.17902	311
729.68683	326
730.19452	292
730.70227	336
731.2099	315
731.71759	320
732.22522	325
732.73279	304
733.24036	310
733.74792	316
734.25543	319
734.76288	317
735.27032	319
735.77777	335
736.28516	311
736.79254	314
737.29987	312
737.80719	336
738.31445	321
738.82172	347
739.32892	303
739.83612	309
740.34326	304
740.8504	293
741.35748	297
741.86456	294
742.37164	335
742.87866	337
743.38562	325
743.89258	312
744.39954	312
744.90643	298
745.41327	313
745.9201	310
746.42694	315
746.93372	328
747.44049	291
747.9472	323
748.45386	327
748.96057	318
749.46716	301
749.97375	318
750.48035	308
750.98688	306
751.49341	320
751.99988	316
752.50635	315
753.01276	323
753.51917	311
754.02551	335
754.53186	309
755.03815	305
755.54443	308
756.05066	316
756.55688	320
757.06305	322
757.56921	322
758.07532	333
758.58142	312
759.08746	316
759.59351	306
760.09949	307
760.60547	309
761.11139	306
761.61725	324
762.12317	331
762.62897	308
763.13483	320
763.64056	325
764.1463	322
764.65204	316
765.15771	332
765.66339	324
766.16901	341
766.67462	313
767.18018	323
767.68567	310
768.19116	326
768.69666	323
769.20209	323
769.70746	318
770.21283	344
770.7182	341
771.22351	315
771.72876	331
772.23401	328
772.73926	322
773.24445	305
773.74957	309
774.2547	330
774.75977	326
775.26483	306
775.76984	334
776.27484	329
776.77979	316
777.28473	302
777.78961	324
778.29449	300
778.79932	331
779.30408	331
779.80884	331
780.3136	330
780.8183	317
781.32294	321
781.82758	301
782.33215	316
782.83673	336
783.34131	317
783.84576	332
784.35028	322
784.85468	320
785.35907	324
785.86346	346
786.3678	313
786.87213	307
787.3764	302
787.88062	292
788.38483	307
788.88898	338
789.39313	314
789.89722	289
790.40131	315
790.90533	301
791.40936	318
791.91333	315
792.4173	302
792.9212	306
793.42505	315
793.92889	327
794.43268	326
794.93646	304
795.44019	320
795.94391	313
796.44757	335
796.95123	304
797.45483	313
797.95837	325
798.46191	307
798.96539	327
799.46887	319
799.97235	321
800.47571	303
800.97906	308
801.48242	328
801.98572	330
802.48895	335
802.99219	304
803.49536	332
803.99854	324
804.50165	286
805.00476	292
805.50781	304
806.01086	310
806.51379	288
807.01678	317
807.51971	296
808.02258	322
808.52539	343
809.02826	322
809.53101	307
810.03375	327
810.53644	313
811.03912	324
811.54175	310
812.04437	322
812.54694	334
813.04944	305
813.55194	316
814.05444	320
814.55682	320
815.05927	322
815.56158	298
816.0639	310
816.56622	316
817.06842	317
817.57068	322
818.07281	339
818.57495	320
819.07709	327
819.57916	307
820.08118	311
820.58319	314
821.08514	330
821.5871	313
822.08899	312
822.59082	331
823.09265	320
823.59442	319
824.09619	311
824.5979	316
825.09955	303
825.6012	308
826.10278	314
826.60437	319
827.1059	319
827.60736	329
828.10883	318
828.61023	316
829.11163	312
829.61298	294
830.11432	336
830.61554	319
831.11682	321
831.61798	312
832.11914	312
832.6203	329
833.1214	308
833.62244	327
834.12347	314
834.62445	322
835.12537	320
835.62628	322
836.12714	333
836.62799	320
837.12878	331
837.62952	320
838.13025	328
838.63092	306
839.13153	298
839.63214	338
840.13275	327
840.63324	320
841.13373	303
841.63422	319
842.13464	328
842.63501	296
843.13538	293
843.63568	333
844.13593	307
844.63617	309
845.13635	328
845.63647	308
846.1366	306
846.63672	297
847.13672	321
847.63672	319
848.13672	326
848.6366	302
849.13647	308
849.63635	322
850.13617	330
850.63593	319
851.13568	308
851.63538	330
852.13501	326
852.63464	326
853.13422	330
853.63373	316
854.13324	313
854.63275	315
855.13214	315
855.63153	300
856.13086	346
856.63019	330
857.12946	310
857.62866	321
858.12787	303
858.62701	331
859.12616	318
859.62524	310
860.12427	339
860.62323	309
861.12219	309
861.62109	307
862.12	317
862.61884	319
863.11761	324
863.61639	315
864.11511	303
864.61377	325
865.11243	312
865.61102	309
866.10962	334
866.60809	332
867.10663	337
867.60504	316
868.10345	297
868.60181	311
869.10016	318
869.59839	332
870.09668	338
870.59485	351
871.09302	397
871.59113	401
872.08923	426
872.58728	436
873.08527	445
873.58325	446
874.08118	475
874.57904	466
875.0769	470
875.57465	446
876.07245	473
876.57013	466
877.06781	464
877.56549	475
878.06305	491
878.56061	464
879.05817	480
879.5556	504
880.05304	478
880.55042	475
881.04779	498
881.5451	470
882.04236	484
882.53961	486
883.0368	454
883.53394	485
884.03107	510
884.52808	483
885.02515	437
