Date and Time:                Sun Nov 2 14:20:55.310 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	268
478.84332	308
479.35983	340
479.87631	325
480.39282	317
480.9093	312
481.42575	297
481.94223	331
482.45868	325
482.97513	343
483.49158	325
484.00803	322
484.52444	309
485.04086	342
485.55728	323
486.07367	320
486.59006	329
487.10645	348
487.62283	332
488.13919	353
488.65555	352
489.17191	325
489.68826	350
490.20459	334
490.72092	352
491.23724	334
491.75354	339
492.26984	330
492.78613	329
493.30243	316
493.8187	341
494.33496	334
494.85123	355
495.36746	339
495.8837	337
496.39993	337
496.91617	350
497.43237	340
497.94858	366
498.46478	338
498.98096	354
499.49713	341
500.01331	347
500.52945	352
501.04562	386
501.56174	363
502.07788	342
502.59399	361
503.11011	392
503.62622	352
504.1423	344
504.65839	370
505.17447	364
505.69052	361
506.20657	359
506.72263	364
507.23865	354
507.75467	346
508.27069	374
508.78668	385
509.30267	353
509.81866	356
510.33463	378
510.85059	371
511.36655	344
511.88248	359
512.39844	340
512.91437	347
513.43024	335
513.94617	354
514.46204	357
514.97791	361
515.49377	361
516.00964	347
516.52551	325
517.04132	354
517.55719	350
518.073	352
518.58881	382
519.10461	359
519.62036	378
520.13617	324
520.65192	365
521.16766	368
521.68341	325
522.1991	357
522.71484	371
523.23053	367
523.74622	382
524.2619	365
524.77759	358
525.29327	343
525.8089	337
526.32452	347
526.84015	346
527.35577	371
527.8714	335
528.38696	337
528.90259	348
529.41815	357
529.93372	348
530.44922	362
530.96478	345
531.48029	334
531.99579	364
532.51129	346
533.02679	343
533.5423	374
534.05774	343
534.57318	349
535.08862	374
535.60406	346
536.11945	361
536.63489	353
537.15027	350
537.66565	346
538.18097	353
538.69635	325
539.21167	354
539.72699	354
540.24231	349
540.75763	361
541.27289	346
541.78821	360
542.30347	344
542.81873	342
543.33392	367
543.84918	336
544.36438	354
544.87958	352
545.39478	357
545.90991	368
546.42511	326
546.94025	354
547.45538	353
547.97052	347
548.4856	351
549.00073	362
549.51581	351
550.03088	336
550.5459	346
551.06097	336
551.57599	309
552.091	332
552.60602	356
553.12097	353
553.63593	337
554.15094	345
554.66583	349
555.18079	353
555.69568	353
556.21063	342
556.72552	326
557.24036	350
557.75525	323
558.27008	342
558.78491	346
559.29974	355
559.81458	350
560.32935	346
560.84412	334
561.35889	367
561.87366	356
562.38837	332
562.90308	335
563.41779	356
563.9325	337
564.44714	350
564.96179	348
565.47644	357
565.99109	330
566.50574	367
567.02032	324
567.53491	335
568.0495	353
568.56403	333
569.07861	349
569.59314	338
570.1076	342
570.62213	314
571.1366	347
571.65106	329
572.16553	320
572.67999	335
573.1944	338
573.7088	344
574.22321	327
574.73755	345
575.25195	337
575.7663	361
576.28058	324
576.79492	317
577.3092	322
577.82349	323
578.33777	352
578.85205	329
579.36627	330
579.88049	346
580.39471	321
580.90887	324
581.42303	354
581.93719	321
582.45135	334
582.96545	352
583.47955	377
583.99365	301
584.50775	344
585.02179	325
585.53583	337
586.04987	327
586.5639	334
587.07788	336
587.59186	353
588.10583	329
588.61975	332
589.13373	354
589.64758	329
590.1615	344
590.67542	347
591.18927	329
591.70306	331
592.21692	335
592.73071	330
593.24451	328
593.7583	334
594.27209	311
594.78583	329
595.29956	304
595.81323	335
596.32697	354
596.84064	329
597.35425	331
597.86792	332
598.38153	346
598.89514	357
599.40875	329
599.9223	311
600.43585	340
600.9494	306
601.46289	327
601.97638	319
602.48987	308
603.00336	330
603.51678	317
604.03021	314
604.54364	333
605.05701	356
605.57043	318
606.08374	347
606.59711	337
607.11041	327
